,lsoa
989,E01001008
990,E01001009
991,E01001010
992,E01001011
993,E01001012
994,E01001013
995,E01001014
996,E01001015
997,E01001016
998,E01001017
999,E01001018
1000,E01001019
1001,E01001020
1002,E01001021
1003,E01001022
1004,E01001023
1005,E01001024
1006,E01001025
1007,E01001026
1008,E01001027
1009,E01001028
1010,E01001029
1011,E01001030
1012,E01001031
1013,E01001032
1014,E01001033
1015,E01001034
1016,E01001035
1017,E01001036
1018,E01001037
1019,E01001038
1020,E01001039
1021,E01001040
1022,E01001041
1023,E01001042
1024,E01001043
1025,E01001044
1026,E01001045
1027,E01001046
1028,E01001047
1029,E01001048
1030,E01001049
1031,E01001050
1032,E01001051
1033,E01001052
1034,E01001053
1035,E01001054
1036,E01001055
1037,E01001056
1038,E01001057
1039,E01001058
1040,E01001059
1041,E01001060
1042,E01001061
1043,E01001062
1044,E01001063
1045,E01001064
1046,E01001065
1047,E01001066
1048,E01001067
1049,E01001068
1050,E01001069
1051,E01001070
1052,E01001071
1053,E01001072
1054,E01001073
1055,E01001074
1056,E01001075
1057,E01001076
1058,E01001077
1059,E01001078
1060,E01001079
1061,E01001080
1062,E01001081
1063,E01001082
1064,E01001084
1065,E01001085
1066,E01001086
1067,E01001087
1068,E01001088
1069,E01001089
1070,E01001090
1071,E01001091
1072,E01001092
1073,E01001093
1074,E01001094
1075,E01001095
1076,E01001096
1077,E01001097
1078,E01001098
1079,E01001099
1080,E01001100
1081,E01001101
1082,E01001102
1083,E01001103
1084,E01001104
1085,E01001105
1086,E01001107
1087,E01001108
1088,E01001109
1089,E01001110
1090,E01001111
1091,E01001112
1092,E01001113
1093,E01001114
1094,E01001115
1095,E01001116
1096,E01001117
1097,E01001118
1098,E01001119
1099,E01001120
1100,E01001121
1101,E01001122
1102,E01001123
1103,E01001124
1104,E01001125
1105,E01001126
1106,E01001127
1107,E01001128
1108,E01001129
1109,E01001130
1110,E01001131
1111,E01001132
1112,E01001133
1113,E01001134
1114,E01001135
1115,E01001136
1116,E01001137
1117,E01001138
1118,E01001139
1119,E01001140
1120,E01001141
1121,E01001142
1122,E01001143
1123,E01001144
1124,E01001145
1125,E01001146
1126,E01001147
1127,E01001148
1128,E01001149
1129,E01001150
1130,E01001151
1131,E01001152
1132,E01001153
1133,E01001154
1134,E01001155
1135,E01001156
