,0,1,idx
401889_d,14.680153736924723,5.534734493500544,401889_d
287365_d,14.693793296668344,5.47013541548102,287365_d
248137_d,14.697087260445873,5.579217831957333,248137_d
453667_b,14.703870566408748,5.653885424465976,453667_b
44710_d,14.713346339572915,5.461771733774722,44710_d
118480_d,14.714529024689023,5.689092578162944,118480_d
237936_b,14.714815147861666,5.3751828246106,237936_b
555434_d,14.717731820808687,5.120789677352054,555434_d
555130_d,14.724243467709982,5.44766590479927,555130_d
8507_d,14.735832300013456,5.1357144443573635,8507_d
375860_d,14.736862511943745,5.565651427489719,375860_d
350999_b,14.738231171527387,5.903650253437866,350999_b
593349_d,14.743993952165601,5.980655446106185,593349_d
53150_b,14.74716852623765,5.122103406902084,53150_b
138265_d,14.74797877546826,5.770355977938124,138265_d
66357_d,14.761832407854834,5.634971284882261,66357_d
379686_b,14.771581700361056,5.8810944116923745,379686_b
73725_d,14.778153009382045,5.633545484768805,73725_d
609591_b,14.780990637356528,5.913104385373789,609591_b
91631_b,14.788007617355165,5.372750896821613,91631_b
275600_b,14.788454926653484,5.548186458575775,275600_b
602597_b,14.788782660190696,5.1799348297009615,602597_b
373154_b,14.806662098753195,5.874320015864618,373154_b
37774_b,14.808844933714859,5.672382726773769,37774_b
50466_b,14.808844933714859,5.672382726773769,50466_b
5488_b,14.811665288632526,5.890434790478397,5488_b
605803_b,14.818077021783651,5.486721375864495,605803_b
610057_d,14.81930511806282,5.457424457970394,610057_d
81224_d,14.819341137390664,5.421163617740981,81224_d
291265_d,14.822536317573393,5.584719208851069,291265_d
10575_d,14.823363375604975,5.473574386222158,10575_d
273856_d,14.832471866278617,5.422412376066015,273856_d
166521_d,14.83291366840732,4.893569630123005,166521_d
296646_d,14.842656587961523,5.586501688876053,296646_d
177401_b,14.859516124858748,5.521052367718342,177401_b
113095_b,14.86132785045347,5.383979260344601,113095_b
425505_d,14.865168299064841,5.31639133367362,425505_d
355937_d,14.871379514911101,4.237294336476059,355937_d
130588_d,14.876615245147047,5.778201460035076,130588_d
237856_d,14.907958312187803,5.846880943367876,237856_d
288480_d,14.911318229043099,5.211918994182363,288480_d
250772_d,14.918029121590909,5.478763265757356,250772_d
136301_d,14.918739048287655,5.045549308958307,136301_d
21346_d,14.919176866478884,5.659389636120349,21346_d
205994_d,14.92674787767622,5.898109056183762,205994_d
302751_b,14.935649292855647,5.336284193835087,302751_b
47910_d,14.936854297911722,5.493839594700115,47910_d
68433_b,14.958611760517844,5.720342334337869,68433_b
75922_b,14.968743909715416,5.053278405001851,75922_b
618545_d,14.971709257191254,5.892157095925017,618545_d
276742_d,14.972877002950861,5.828112163019002,276742_d
572982_b,14.988603395473012,5.027930440708036,572982_b
327359_b,14.992743611529967,5.6125162209137835,327359_b
278088_d,14.998906614104573,5.5101775073959836,278088_d
440917_b,15.000034114390036,5.4883536841196925,440917_b
105983_d,15.016352189394471,5.509520167317055,105983_d
572574_d,15.017591999862011,5.363388634747489,572574_d
121933_b,15.018307287365912,5.542781674161205,121933_b
367932_d,15.02192052433735,5.0986027699570124,367932_d
596880_b,15.022164317962204,5.36319333032153,596880_b
191616_b,15.025684642610928,5.608141370950219,191616_b
588183_d,15.025684642610928,5.608141370950219,588183_d
