,lsoa,hierarchical8_x,err_x,hierarchical8_y,err_y,same
2642,E01002706,1,4.538770420988637,1,3.9792674596345146,1
2643,E01002707,1,3.6115701831326805,1,3.482377721879275,1
2644,E01002708,1,3.026776597777454,1,3.036981653798951,1
2645,E01002709,1,5.020938319794137,1,5.824308752824222,1
2646,E01002710,1,3.9950748090816433,1,3.452418954716952,1
2647,E01002711,1,2.4003865726109175,1,2.3121993090689146,1
2648,E01002712,6,5.386483029646558,1,5.4085814925791755,0
2649,E01002713,1,4.581817031120587,1,4.574100616373899,1
2650,E01002714,1,4.0336455084261535,1,3.7224925214300115,1
2651,E01002715,1,8.772891891665891,1,7.820955062224038,1
2652,E01002716,1,3.545088366909765,1,4.151511515076212,1
2653,E01002717,8,3.6845357105566046,8,4.2414570477826015,1
2654,E01002718,1,3.728224156053197,5,4.217014817570203,0
2655,E01002719,1,2.725350941458575,8,2.9394405756551873,0
2656,E01002720,1,4.035887702944825,1,3.3549883557216797,1
2657,E01002721,8,4.0000945260892635,8,3.4961718698352233,1
2658,E01002722,1,3.4023456932736558,1,4.6015147997924455,1
2659,E01002723,1,4.119733972096669,1,4.375263854330828,1
2660,E01002724,1,2.3417481775709335,1,1.8560758873637762,1
2661,E01002725,1,5.220352656609992,1,4.756582851615287,1
2662,E01002726,1,3.2186270557712904,1,2.9953817118339394,1
2663,E01002727,1,3.2128742576361864,1,3.30294456839499,1
2664,E01002728,6,4.942090658898693,1,4.87317784647666,0
2665,E01002729,1,3.151621067790078,1,3.461342306890612,1
2666,E01002730,5,2.6675119071902618,5,3.2564996892874705,1
2667,E01002731,2,3.06870118087441,2,3.3730124750318295,1
2668,E01002732,1,2.776535995176974,1,2.462852743573082,1
2669,E01002733,1,4.2949519893000625,8,5.205238514931549,0
2670,E01002734,2,4.209997488560365,2,4.170456090165679,1
2671,E01002735,5,4.286020627431079,6,4.1416033897708955,0
2672,E01002736,1,5.112552704443186,1,5.260661175175606,1
2673,E01002737,1,4.299607204815632,1,3.2379931938017563,1
2674,E01002738,1,3.5179315594351577,1,4.447740999653645,1
2675,E01002739,5,1.9344162965644525,5,1.9423783368721708,1
2676,E01002740,1,2.6511930960136723,1,2.8323139742777266,1
2677,E01002741,4,3.9596611973107274,8,4.883469283328291,0
2678,E01002742,5,3.627186461819372,5,2.670746471465887,1
2679,E01002743,5,4.705935343881132,5,4.990873523141753,1
2680,E01002744,5,4.469587751026645,6,5.0062596687366225,0
2681,E01002745,5,4.17514937569381,5,4.3358049391944435,1
2682,E01002747,5,3.625002655018185,5,3.951454941180709,1
2683,E01002748,5,5.3506377525878435,5,5.61846359214454,1
2684,E01002749,5,2.2661239776200355,5,0.0,1
2685,E01002751,1,3.6857488492130477,1,0.0,1
2686,E01002752,5,4.434673186414533,5,4.426164542711022,1
2687,E01002753,1,0.0,5,2.4241839157849676,0
2688,E01002754,5,4.190394403857345,5,4.747805373160245,1
2689,E01002755,1,5.083148396462964,1,5.6161408342225965,1
2690,E01002756,5,4.076643485189753,5,4.429688080872869,1
2691,E01002757,5,5.404569513936003,5,5.8971321958986564,1
2692,E01002758,4,3.648951879848074,1,4.6049290768782525,0
2693,E01002759,5,3.445747403510875,5,3.978108923178974,1
2694,E01002760,1,5.40850461937622,1,5.534622347647215,1
2695,E01002762,6,3.4005701615272383,6,2.9549118327716735,1
2696,E01002763,1,4.823168455454111,6,4.080098716114103,0
2697,E01002764,3,4.86837676396022,1,4.811507339057334,0
2698,E01002765,1,4.13868967473537,1,3.6112913732761127,1
2699,E01002766,1,4.905559356897314,1,4.568068863455786,1
2700,E01002767,3,4.414708576336169,6,3.8567501863891263,0
2701,E01002768,5,3.942366893931108,8,3.894485136383069,0
2702,E01002769,5,2.9759598104813176,5,3.5641879468521456,1
2703,E01002770,6,3.258209788354757,6,3.053496646169125,1
2704,E01002771,5,4.144540394108857,5,4.104232594865979,1
2705,E01002772,6,3.905355127083714,1,4.145416338067258,0
2706,E01002773,8,4.719777093820213,8,5.409166304860332,1
2707,E01002774,5,4.013994677405165,5,4.01212447657018,1
2708,E01002775,6,4.429683341579471,5,5.444971319683536,0
2709,E01002776,1,4.947692380913329,6,3.825225260119649,0
2710,E01002777,6,4.073034654416301,8,4.448433384968111,0
2711,E01002778,1,6.305034023698842,1,4.545678222376254,1
2712,E01002779,5,4.181227512637434,5,4.354303563553661,1
2713,E01002780,5,3.4124247071945004,5,3.2067746836095306,1
2714,E01002781,6,6.561055591005326,6,10.77479464348973,1
2715,E01002782,1,4.5815971519489125,1,4.444858975743836,1
2716,E01002783,8,4.428791842558991,8,5.899097961553105,1
2717,E01002784,6,4.739322242578374,1,4.645764614389013,0
2718,E01002785,5,2.296715558279894,5,2.1836530518764947,1
2719,E01002786,6,5.434965692399754,5,5.810755961876635,0
2720,E01002787,6,6.1855057472368165,6,6.28075312376254,1
2721,E01002788,5,3.0058690054801263,5,3.5682777722790324,1
2722,E01002789,5,2.8753261777556105,5,3.069411564186676,1
2723,E01002790,1,4.486260568541428,1,4.335110143776936,1
2724,E01002791,6,3.1998561685012845,6,3.296147432754577,1
2725,E01002792,1,3.2926163099791403,1,3.0527780619297085,1
2726,E01002793,1,3.9970894395087724,1,3.25683844396186,1
2727,E01002794,6,3.465617138086694,6,3.201477304881837,1
2728,E01002795,6,3.020647923239917,6,3.381752547266406,1
2729,E01002796,1,2.588774352523616,1,0.0,1
2730,E01002797,1,3.8736206332871825,1,3.9816750366636273,1
2731,E01002798,1,3.301848435851248,1,3.683755861701828,1
2732,E01002799,1,4.593644176342556,1,5.46965415304604,1
2733,E01002800,1,6.253827947745284,1,4.585700979238192,1
2734,E01002801,1,4.136561593423523,1,3.390702001969883,1
2735,E01002802,1,3.9782849514055023,1,3.0126397558746976,1
2736,E01002803,1,2.675413321281796,1,2.4543586730576514,1
2737,E01002804,6,4.322384644477864,5,4.431941826804038,0
2738,E01002805,6,3.8226156869125165,6,3.441305856275289,1
2739,E01002806,5,2.826911652514853,5,3.704244288214439,1
2740,E01002807,1,3.858119052345124,1,3.6720041759735715,1
2741,E01002808,1,2.4528867310368345,1,2.3856699565611676,1
2742,E01002809,5,3.9251223686348387,5,4.552715743377791,1
2743,E01002810,5,3.5883252024430083,5,3.808768075898472,1
2744,E01002811,5,3.777453322357271,5,2.642337529645602,1
2745,E01002812,5,5.057032348819134,5,4.881266467872294,1
2746,E01002813,1,3.6485627264123046,1,2.999226178600074,1
2747,E01002814,4,5.204890734446589,1,4.574235992551713,0
2748,E01002815,1,5.717394956700917,8,6.107590954816226,0
2749,E01002816,1,1.8677720716334953,1,3.571514539612945,1
2750,E01002817,1,3.7329227646060104,1,3.5260184497576534,1
2751,E01002818,1,2.2687879747775055,1,1.8089122873908376,1
2752,E01002819,1,2.66306567577259,1,2.3097097410262384,1
2753,E01002820,6,3.737900549032202,5,4.029976529294763,0
2754,E01002821,6,3.1049647340748474,6,3.557369046828132,1
2755,E01002822,1,3.834811024266611,5,3.7033281941770473,0
2756,E01002823,1,4.947678608308255,1,4.606815328596983,1
2757,E01002824,5,5.224037234524735,5,5.507826861720927,1
2758,E01002825,1,4.235313127151159,1,4.29175902186156,1
2759,E01002826,6,3.5177807297102572,1,4.217156659179955,0
2760,E01002827,1,3.3117331312184533,1,3.3174061145458804,1
2761,E01002828,1,2.920067416262891,1,2.952414722360819,1
2762,E01002829,5,5.074318024534302,6,4.951221246999035,0
2763,E01002830,5,4.313317417968233,1,4.270339650687142,0
2764,E01002831,2,3.6986542965891753,6,3.6080056988404925,0
2765,E01002832,6,4.143204107864981,6,4.02048846881494,1
2766,E01002833,6,5.239104728803864,6,5.574549455781908,1
2767,E01002834,1,4.6189983743830005,1,4.222527712741461,1
2768,E01002835,1,2.985396385086402,1,2.3543359686282357,1
2769,E01002836,5,4.515526171667309,5,4.1712044949601195,1
2770,E01002837,1,4.604397979020471,1,4.323870618122225,1
2771,E01002838,1,5.016261365441373,5,4.116483978755838,0
2772,E01002839,5,6.160423630383314,5,3.319131938692146,1
2773,E01002840,1,5.718417632919949,1,5.150559621163222,1
