,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
1522,0,1,1,0,2,5,1,2,0,0,1,E00001574,0,2,1,0,1,4,1,2,1,0,1,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0
1523,2,0,0,0,3,3,0,1,0,0,2,E00001575,0,0,1,0,4,4,1,1,1,0,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0
1524,0,1,1,0,2,4,1,1,1,0,1,E00001576,0,0,1,0,3,2,2,2,1,0,2,-2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
1525,1,0,1,1,1,2,0,1,1,2,1,E00001577,1,1,1,1,1,1,0,1,1,2,3,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1526,0,0,1,0,3,5,1,2,1,0,1,E00001578,0,0,1,1,2,4,1,2,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
1527,3,1,1,0,1,2,0,0,1,3,1,E00001579,3,1,0,1,1,1,1,1,1,2,2,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0
1528,2,1,1,1,2,2,1,2,1,0,1,E00001580,1,1,1,1,2,2,2,1,1,0,1,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1529,1,1,2,0,2,1,0,1,1,3,2,E00001581,0,1,0,0,2,2,1,1,1,1,3,1.0,1.0,0.0,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-1.0
1530,0,1,2,0,3,1,2,2,1,0,1,E00001582,0,2,1,1,2,2,1,2,2,0,2,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0
1531,0,2,1,0,1,2,1,2,1,0,3,E00001583,0,2,1,1,1,1,1,1,2,0,3,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
