OA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E00000405,0,1,0,0,0,1,0,1,0,0,1
E00000406,0,0,0,0,1,1,0,1,0,0,1
E00000407,0,0,0,0,1,1,1,1,1,0,1
E00000409,0,0,0,0,0,1,1,1,0,0,0
E00000410,1,0,0,0,1,1,0,1,1,0,1
E00000411,1,1,1,1,1,1,1,1,1,1,1
E00000412,0,1,0,1,1,1,0,1,1,0,1
E00000413,0,1,1,0,1,1,1,1,0,0,1
E00000414,1,1,1,1,1,1,0,1,0,0,1
E00000415,0,1,1,0,1,1,0,1,1,0,1
E00000416,0,1,0,1,0,1,0,1,1,0,1
E00000417,0,1,1,0,1,1,0,1,0,0,1
E00000418,1,1,1,0,1,1,0,1,1,0,1
E00000419,0,1,1,0,0,1,0,1,1,0,1
E00000420,0,1,1,0,1,1,0,1,1,0,1
E00000421,0,0,0,0,0,1,1,0,0,0,0
E00000422,0,1,0,1,0,1,0,1,1,0,1
E00000423,0,1,0,0,1,1,0,1,0,0,0
E00000424,1,1,0,0,1,1,0,1,1,0,1
E00000425,1,1,1,0,1,1,0,1,1,0,1
E00000426,1,0,0,0,1,1,0,0,0,0,1
E00000427,0,0,0,0,0,1,0,1,1,1,1
E00000428,1,0,0,0,0,1,0,1,0,1,1
E00000429,0,0,0,0,0,1,1,0,0,0,0
E00000430,1,0,0,0,0,1,0,0,1,1,1
E00000431,0,0,0,0,0,0,1,0,0,0,0
E00000432,0,0,0,0,1,1,0,0,1,1,1
E00000433,0,0,0,0,0,1,1,0,1,0,0
E00000434,0,0,0,0,0,0,0,0,0,0,0
E00000435,1,1,0,0,1,1,0,1,1,1,0
E00000436,0,0,0,0,0,1,0,1,1,0,0
E00000437,0,0,0,0,0,1,0,1,1,1,1
E00000438,0,0,0,1,0,1,0,0,1,0,1
E00000439,0,0,0,1,0,1,1,1,0,0,1
E00000440,1,1,0,1,0,1,0,1,1,0,0
E00000441,1,1,1,1,0,0,0,1,0,1,1
E00000442,1,1,1,1,0,1,0,1,0,0,0
E00000443,0,1,0,1,1,1,0,1,1,0,1
E00000444,0,1,1,1,1,1,0,0,1,0,1
E00000445,0,1,0,1,1,1,0,1,0,0,0
E00000446,0,1,0,1,1,1,0,1,0,1,1
E00000447,1,1,0,1,1,1,0,0,1,0,1
E00000448,0,1,1,1,1,1,0,1,1,0,1
E00000449,1,1,0,0,0,1,0,1,0,0,0
E00000450,0,0,1,0,0,1,1,1,1,1,0
E00000451,0,1,1,0,0,1,0,1,1,0,0
E00000452,0,0,0,0,0,0,1,0,0,0,0
E00000453,0,0,0,0,0,0,1,0,0,0,0
E00000454,0,1,1,0,1,0,0,1,1,0,1
E00000455,0,1,0,0,0,1,1,1,1,0,0
E00000456,0,1,0,0,0,1,1,0,0,0,1
E00000457,1,0,0,0,0,0,1,0,0,0,0
E00000458,0,0,0,0,0,0,1,0,0,0,0
E00000459,1,1,1,1,1,1,1,1,1,1,0
E00000460,1,1,0,1,0,1,0,0,1,0,1
E00000461,0,0,0,1,0,0,0,1,1,0,1
E00000462,1,1,0,0,0,0,1,0,0,0,0
E00000463,0,0,0,0,0,0,1,0,0,0,0
E00000464,0,0,0,0,0,0,0,0,0,0,0
E00000465,0,1,1,0,0,1,1,1,1,0,1
E00000466,0,1,0,0,1,1,0,1,1,0,0
E00000467,0,1,0,0,1,1,1,1,1,0,1
E00000468,0,1,1,1,0,1,0,0,1,0,1
E00000469,0,0,0,0,0,0,1,1,1,0,0
E00000470,0,0,0,0,0,0,1,0,0,0,0
E00000471,0,1,1,1,0,1,1,1,1,0,0
E00000472,1,1,0,0,0,0,1,1,1,0,0
E00000474,1,0,0,0,0,0,1,0,0,0,0
E00000475,0,1,0,0,1,1,0,1,0,0,1
E00000476,1,1,1,0,0,1,0,1,1,0,1
E00000477,0,1,0,0,0,1,1,1,0,0,1
E00000478,0,0,0,0,0,0,1,0,0,1,0
E00000479,0,1,1,0,0,1,1,1,1,0,1
E00000480,0,1,1,0,0,1,0,0,1,0,1
E00000481,0,1,1,0,1,1,0,1,0,1,1
E00000482,0,1,0,0,0,1,0,1,1,0,0
E00000483,0,1,0,0,1,1,0,1,0,0,1
E00000484,0,1,0,0,0,1,0,1,1,0,0
E00000485,0,1,1,0,1,1,0,1,0,0,1
E00000486,0,0,0,0,0,0,0,0,0,0,0
E00000487,1,1,1,1,1,1,1,1,0,1,1
E00000488,0,1,0,0,1,1,0,1,0,0,1
E00000489,1,1,1,0,0,1,0,1,1,0,0
E00000490,0,1,1,0,0,1,0,1,0,0,1
E00000491,0,1,1,0,1,1,0,1,0,0,0
E00000492,0,1,0,0,1,1,0,1,1,0,1
E00000493,0,1,0,0,1,1,1,1,0,0,1
E00000494,1,0,0,0,0,1,1,1,0,0,0
E00000495,0,0,1,0,0,1,1,1,0,0,1
E00000496,0,0,0,0,1,1,0,1,0,0,1
E00000497,1,1,0,0,0,1,0,1,0,0,1
E00000498,0,1,1,0,1,1,0,1,0,0,1
E00000499,0,1,1,0,1,1,0,1,1,0,1
E00000500,0,1,0,0,0,1,1,1,1,0,1
E00000501,1,1,1,0,1,1,0,1,0,0,1
E00000502,0,1,0,0,0,1,1,1,0,0,1
E00000503,0,1,0,0,1,1,0,1,0,0,1
E00000504,1,0,1,1,0,0,0,1,0,0,0
E00000505,1,1,0,0,0,1,0,1,1,0,1
E00000506,0,1,1,1,1,1,0,1,0,1,1
E00000507,0,1,0,0,1,1,0,1,1,0,1
E00000508,0,1,0,0,0,1,0,1,1,0,1
E00000509,0,1,0,1,1,1,0,1,1,0,1
E00000510,1,1,0,0,0,1,0,1,1,0,0
E00000511,1,1,1,1,1,0,1,1,1,1,1
E00000512,1,1,0,1,0,0,1,1,1,1,0
E00000513,0,1,0,0,1,1,0,1,1,0,0
E00000514,1,0,0,1,1,1,0,1,1,0,1
E00000515,0,1,1,0,1,0,0,1,1,0,1
