,Commercial,Estates,Green space,High-density,Low-density,lsoa
581,,,,,-10.258863819500402,E01000610
582,,7.05882352941176,,,-18.371696504688835,E01000611
583,,,,,,E01000612
584,,,,,,E01000613
585,,,-9.560362245634291,,,E01000615
586,,,,,,E01000616
587,,,-11.82331792501284,,-10.380071905495633,E01000617
588,,,,,-15.362931642001413,E01000618
589,,,,,,E01000620
590,,,,,-14.235459662288932,E01000621
591,,,,,,E01000623
592,,,,,-12.821861602798464,E01000624
593,,,,,,E01000625
594,,,,,-15.28532608695652,E01000626
595,,,,,-10.677502569971097,E01000627
596,,,,,,E01000628
597,,,,-4.57386363636364,,E01000629
598,,,,,,E01000630
599,,,,,,E01000631
600,,,,,,E01000632
601,,,,,,E01000633
602,,5.825885468387949,-7.936113869579611,,-12.44620986428335,E01000634
603,,,,,-10.373713331890821,E01000635
604,,,,,,E01000636
605,,,,,,E01000637
606,,,,,,E01000638
607,,,,,,E01000639
608,,-1.75438596491228,,,,E01000640
609,,,,,,E01000641
610,,,,,,E01000642
611,,,,,,E01000643
612,,,,,,E01000644
613,,,,,,E01000645
614,,,,,,E01000646
615,,,,,,E01000647
616,,,,,,E01000648
617,,,,,,E01000650
618,,,,,,E01000651
619,,,,,-9.199084668192235,E01000652
620,,,,,,E01000653
621,,,,-2.0,,E01000654
622,,,,,11.038522880628143,E01000655
623,,,9.689789678983715,,-7.919983132149072,E01000656
624,,,,,,E01000657
625,,,8.878273974501113,,,E01000658
626,,,,,,E01000659
627,,,,,,E01000661
628,,,,,-10.302231428302413,E01000662
629,,,,,,E01000663
630,,,,,,E01000664
631,,,,,,E01000665
632,,,,,-4.573713815475873,E01000666
633,,,,,,E01000667
634,,,,,,E01000668
635,,,,,,E01000669
636,,,,,,E01000670
637,,,,,,E01000671
638,,,,,,E01000672
639,,,,,,E01000673
640,,,,,,E01000674
641,,,,,,E01000675
642,,,,,,E01000676
643,,,,,,E01000677
644,,,,,,E01000678
645,,,,,,E01000679
646,,,,,,E01000680
647,,,,,,E01000681
648,,,,,,E01000682
649,,,,,,E01000683
650,,,,,,E01000684
651,,4.9833770368982915,,,-7.061247424611352,E01000685
