LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000207,1,1,0,0,1,0,0,0,0,0,0
E01000208,0,1,0,0,1,0,1,1,0,0,0
E01000209,0,0,1,0,1,0,0,0,0,0,0
E01000210,0,0,1,0,0,0,1,0,0,0,0
E01000211,1,1,0,0,0,0,0,0,0,0,0
E01000212,0,0,1,0,1,1,1,0,0,0,0
E01000213,0,1,1,0,1,0,1,1,0,0,0
E01000214,1,1,1,0,1,1,1,1,0,0,0
E01000215,0,1,0,0,1,1,1,1,0,0,1
E01000216,0,0,0,0,1,1,0,1,1,0,1
E01000217,0,0,0,0,1,1,0,0,0,0,1
E01000218,1,1,0,1,1,1,0,1,0,1,1
E01000219,0,0,0,0,1,1,1,1,0,0,1
E01000220,1,0,1,1,1,1,0,1,1,1,1
E01000221,0,0,0,0,0,0,1,0,0,0,0
E01000222,0,0,0,0,0,1,1,1,0,0,0
E01000223,0,0,0,0,0,0,1,0,0,0,0
E01000224,0,0,1,0,1,1,1,1,1,0,0
E01000225,0,0,0,0,1,1,1,1,0,0,1
E01000226,0,0,1,0,1,1,1,1,0,0,0
E01000227,0,0,0,0,1,1,0,1,1,0,1
E01000228,0,0,0,0,0,0,1,0,0,0,0
E01000229,0,1,0,0,1,1,1,1,1,0,1
E01000230,1,0,0,0,1,1,1,1,1,0,1
E01000231,0,0,0,0,0,1,1,1,0,0,0
E01000232,0,0,0,0,1,1,1,1,0,0,0
E01000233,1,0,0,0,1,1,0,1,1,0,1
E01000234,1,0,0,1,1,1,0,1,0,0,0
E01000235,0,0,0,0,1,1,1,1,0,0,0
E01000236,0,1,1,1,1,1,1,1,1,0,1
E01000237,1,0,0,0,1,0,0,1,0,0,0
E01000238,0,0,0,0,1,1,1,0,0,1,1
E01000239,0,0,0,0,0,0,1,0,0,0,0
E01000240,0,0,0,0,0,1,1,1,0,0,0
E01000241,0,1,1,1,1,1,0,0,1,1,1
E01000242,0,0,1,0,1,1,1,1,1,0,0
E01000243,1,0,1,1,1,1,0,0,0,1,0
E01000244,1,1,1,1,1,1,1,1,1,1,0
E01000245,1,1,1,1,1,0,0,1,1,1,1
E01000246,0,0,0,0,1,0,1,0,0,0,0
E01000247,0,1,1,1,1,1,0,1,1,1,1
