,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
58,,1,0,1,1,2,0,1,1,0,1,E01000062,,1,1,1,1,2,,1,1,0,1,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
59,,1,1,1,1,2,1,1,1,,1,E01000063,0,1,1,0,1,2,,1,1,0,2,0.0,,0.0,1.0,0.0,,0.0,0.0,-1.0,0.0,
60,1,1,1,1,1,2,1,1,1,0,1,E01000064,1,1,1,1,1,1,0,1,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,1,1,1,1,1,2,1,1,1,0,1,E01000065,1,1,1,0,1,1,0,1,1,1,2,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
62,,1,1,0,1,2,1,1,1,1,1,E01000066,0,1,1,0,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,0,1,1,1,1,2,1,1,1,1,1,E01000067,0,1,1,1,1,1,0,1,1,1,1,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,,1,1,1,2,1,1,1,1,1,E01000068,,0,1,1,1,1,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
65,0,0,1,,1,2,1,1,1,1,1,E01000069,0,,0,1,1,2,,1,1,1,1,0.0,,0.0,0.0,0.0,0.0,-1.0,0.0,,,0.0
66,1,0,1,0,1,1,1,1,1,1,1,E01000070,1,0,1,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,1,1,1,1,2,1,1,1,1,1,E01000071,0,1,1,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1,1,1,1,1,2,1,1,1,0,1,E01000072,1,1,1,1,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,,1,1,1,1,2,1,1,1,,1,E01000073,,1,1,1,1,1,1,1,1,,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
70,,1,1,1,1,2,,1,1,0,1,E01000074,,1,1,1,1,1,,1,1,1,1,-1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
71,1,1,1,1,1,2,1,1,1,,1,E01000075,1,1,1,0,1,1,1,1,1,0,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,0.0
72,,1,1,1,1,2,1,1,1,,1,E01000076,,1,1,1,1,1,0,1,1,0,1,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
73,1,1,1,1,1,2,1,1,1,0,1,E01000077,1,1,1,1,1,1,0,1,1,,1,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
74,1,1,1,1,1,2,0,1,1,,1,E01000078,1,1,1,0,1,1,0,1,1,,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,0.0
75,,1,1,1,1,2,1,1,1,,1,E01000079,0,1,1,0,1,2,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,
76,0,1,1,1,1,2,1,1,1,0,1,E01000080,,1,1,0,1,1,1,1,1,0,2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,
