,lsoa,hierarchical8_x,hierarchical8_y,same
782,E01000798,3,3,1
783,E01000799,10,10,1
784,E01000800,10,10,1
785,E01000801,9,9,1
786,E01000802,6,6,1
787,E01000803,6,6,1
788,E01000804,3,3,1
789,E01000805,3,3,1
790,E01000806,10,10,1
791,E01000807,3,3,1
792,E01000808,3,3,1
793,E01000809,3,3,1
794,E01000810,3,3,1
795,E01000811,9,9,1
796,E01000812,3,9,0
797,E01000813,3,3,1
798,E01000814,3,3,1
799,E01000815,3,3,1
800,E01000816,9,9,1
801,E01000818,9,9,1
802,E01000819,9,3,0
803,E01000820,3,4,0
804,E01000822,10,10,1
805,E01000823,3,3,1
806,E01000824,3,3,1
807,E01000825,3,3,1
808,E01000826,5,3,0
809,E01000827,5,5,1
810,E01000828,5,3,0
811,E01000829,3,9,0
812,E01000830,3,3,1
813,E01000831,3,3,1
814,E01000832,4,4,1
815,E01000833,3,3,1
816,E01000834,3,3,1
817,E01000835,3,3,1
818,E01000836,3,3,1
819,E01000837,3,3,1
820,E01000838,9,3,0
821,E01000839,9,9,1
822,E01000840,4,4,1
823,E01000841,3,3,1
824,E01000842,6,6,1
825,E01000843,6,6,1
826,E01000844,6,6,1
827,E01000845,10,10,1
828,E01000846,5,5,1
829,E01000847,4,6,0
830,E01000848,6,6,1
831,E01000849,6,6,1
832,E01000850,1,1,1
833,E01000851,1,1,1
834,E01000852,1,7,0
835,E01000853,1,1,1
836,E01000854,1,1,1
837,E01000855,1,1,1
838,E01000856,1,1,1
839,E01000857,6,6,1
840,E01000858,10,1,0
841,E01000859,6,6,1
842,E01000860,11,10,0
843,E01000861,1,7,0
844,E01000862,10,10,1
845,E01000863,2,2,1
846,E01000864,10,6,0
847,E01000865,7,7,1
848,E01000866,7,7,1
849,E01000867,7,1,0
850,E01000868,10,6,0
851,E01000869,7,6,0
852,E01000870,7,6,0
853,E01000871,3,3,1
854,E01000872,10,6,0
855,E01000873,6,6,1
856,E01000874,6,6,1
857,E01000875,10,10,1
858,E01000876,6,6,1
859,E01000877,6,6,1
860,E01000878,3,3,1
861,E01000879,10,10,1
862,E01000880,3,10,0
863,E01000881,3,3,1
864,E01000882,7,7,1
865,E01000883,10,10,1
866,E01000884,9,9,1
867,E01000885,4,4,1
868,E01000886,6,8,0
869,E01000887,6,6,1
870,E01000888,6,8,0
871,E01000889,7,7,1
872,E01000890,2,1,0
873,E01000891,7,7,1
874,E01000892,12,10,0
875,E01000893,6,6,1
876,E01000894,11,6,0
877,E01000895,1,1,1
878,E01000896,6,6,1
879,E01000897,7,10,0
880,E01000898,7,10,0
881,E01000899,11,11,1
882,E01000900,7,7,1
883,E01000901,10,10,1
884,E01000902,12,12,1
885,E01000903,10,6,0
886,E01000904,7,1,0
887,E01000905,12,12,1
888,E01000906,10,7,0
889,E01000907,10,6,0
890,E01000908,7,5,0
891,E01000909,3,3,1
892,E01000910,6,6,1
893,E01000911,6,6,1
894,E01000912,10,10,1
895,E01000913,11,11,1
896,E01000914,1,1,1
897,E01000915,1,1,1
898,E01000916,2,1,0
899,E01000917,1,1,1
900,E01000918,1,1,1
901,E01000919,2,2,1
902,E01000920,1,1,1
903,E01000921,10,10,1
904,E01000922,1,1,1
905,E01000923,6,6,1
906,E01000924,6,6,1
907,E01000925,7,1,0
908,E01000926,10,10,1
909,E01000927,7,7,1
910,E01000928,7,10,0
911,E01000929,12,7,0
912,E01000930,10,1,0
913,E01000931,2,6,0
914,E01000932,6,6,1
915,E01000933,6,6,1
916,E01000934,12,12,1
917,E01000935,6,7,0
918,E01000936,1,1,1
919,E01000937,1,1,1
920,E01000938,1,1,1
921,E01000939,1,1,1
922,E01000940,7,1,0
923,E01000941,1,1,1
924,E01000942,1,1,1
925,E01000943,1,1,1
926,E01000944,1,1,1
927,E01000945,1,1,1
928,E01000946,11,11,1
929,E01000947,2,10,0
930,E01000948,11,11,1
931,E01000949,7,12,0
932,E01000950,7,10,0
933,E01000951,7,1,0
934,E01000952,1,1,1
935,E01000953,10,10,1
936,E01000954,7,1,0
937,E01000955,1,1,1
938,E01000956,1,10,0
939,E01000957,7,7,1
940,E01000958,7,1,0
941,E01000959,7,1,0
942,E01000960,6,2,0
943,E01000961,12,12,1
944,E01000962,6,8,0
945,E01000963,12,12,1
946,E01000964,12,12,1
947,E01000965,3,6,0
948,E01000966,3,6,0
949,E01000967,4,4,1
950,E01000968,6,8,0
951,E01000969,10,10,1
952,E01000970,6,6,1
953,E01000971,8,8,1
954,E01000972,1,2,0
955,E01000973,6,6,1
956,E01000974,6,6,1
957,E01000975,3,3,1
958,E01000976,6,6,1
959,E01000977,3,3,1
960,E01000978,3,3,1
961,E01000979,6,6,1
962,E01000980,3,3,1
963,E01000981,3,3,1
964,E01000982,6,6,1
965,E01000983,3,3,1
966,E01000984,3,3,1
967,E01000985,9,3,0
968,E01000986,9,3,0
969,E01000987,9,9,1
970,E01000989,3,3,1
971,E01000990,3,3,1
972,E01000991,3,3,1
973,E01000992,3,3,1
974,E01000993,9,9,1
975,E01000994,9,3,0
976,E01000995,3,3,1
977,E01000996,6,6,1
978,E01000997,9,3,0
979,E01000998,6,6,1
980,E01000999,6,6,1
981,E01001000,3,6,0
982,E01001001,3,3,1
983,E01001002,3,6,0
984,E01001003,3,3,1
985,E01001004,3,3,1
986,E01001005,8,8,1
987,E01001006,5,5,1
988,E01001007,9,9,1
989,E01001008,9,3,0
990,E01001009,6,6,1
991,E01001010,5,5,1
992,E01001011,10,10,1
993,E01001012,6,6,1
994,E01001013,3,10,0
995,E01001014,10,7,0
996,E01001015,4,4,1
997,E01001016,4,4,1
998,E01001017,4,9,0
999,E01001018,3,9,0
1000,E01001019,9,3,0
1001,E01001020,3,3,1
1002,E01001021,4,4,1
1003,E01001022,4,4,1
1004,E01001023,4,3,0
1005,E01001024,9,9,1
1006,E01001025,9,9,1
1007,E01001026,9,9,1
1008,E01001027,11,11,1
1009,E01001028,4,4,1
1010,E01001029,3,4,0
1011,E01001030,9,9,1
1012,E01001031,3,9,0
1013,E01001032,4,3,0
1014,E01001033,3,3,1
1015,E01001034,9,3,0
1016,E01001035,3,3,1
1017,E01001036,4,4,1
1018,E01001037,10,10,1
1019,E01001038,3,10,0
1020,E01001039,3,3,1
1021,E01001040,3,6,0
