LSOA11CD,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,count,lsoa
E01002960,0.006756756756756757,0.0,0.013513513513513514,0.6959459459459459,0.02027027027027027,0.2635135135135135,0.0,148,E01002960
E01002961,0.0,0.018292682926829267,0.0,0.6158536585365854,0.042682926829268296,0.31097560975609756,0.012195121951219513,164,E01002961
E01002962,0.0,0.0,0.01834862385321101,0.7155963302752294,0.045871559633027525,0.22018348623853212,0.0,109,E01002962
E01002963,0.0,0.06060606060606061,0.06060606060606061,0.6666666666666666,0.0,0.030303030303030304,0.18181818181818182,66,E01002963
E01002964,0.0392156862745098,0.029411764705882353,0.10784313725490197,0.30392156862745096,0.1568627450980392,0.11764705882352941,0.24509803921568626,102,E01002964
E01002965,0.04807692307692308,0.04807692307692308,0.08653846153846154,0.2980769230769231,0.14423076923076922,0.2692307692307692,0.10576923076923077,104,E01002965
E01002966,0.0,0.008547008547008548,0.05128205128205128,0.4017094017094017,0.24786324786324787,0.09401709401709402,0.19658119658119658,117,E01002966
E01002967,0.0,0.1875,0.09375,0.34375,0.14583333333333334,0.125,0.10416666666666667,96,E01002967
E01002968,0.43537414965986393,0.013605442176870748,0.16326530612244897,0.19047619047619047,0.047619047619047616,0.10204081632653061,0.047619047619047616,147,E01002968
E01002969,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,11,E01002969
E01002970,0.04477611940298507,0.0,0.04477611940298507,0.6417910447761194,0.0,0.22388059701492538,0.04477611940298507,67,E01002970
E01002971,0.024691358024691357,0.024691358024691357,0.037037037037037035,0.2839506172839506,0.13580246913580246,0.2222222222222222,0.2716049382716049,81,E01002971
E01002972,0.09523809523809523,0.015873015873015872,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.07936507936507936,0.23809523809523808,63,E01002972
E01002973,0.0,0.014084507042253521,0.028169014084507043,0.676056338028169,0.028169014084507043,0.2535211267605634,0.0,71,E01002973
E01002974,0.06363636363636363,0.02727272727272727,0.05454545454545454,0.6181818181818182,0.01818181818181818,0.08181818181818182,0.13636363636363635,110,E01002974
E01002975,0.00684931506849315,0.00684931506849315,0.0,0.5821917808219178,0.02054794520547945,0.3835616438356164,0.0,146,E01002975
E01002976,0.0,0.0,0.007194244604316547,0.7122302158273381,0.007194244604316547,0.2589928057553957,0.014388489208633094,139,E01002976
E01002977,0.0,0.0,0.04065040650406504,0.4959349593495935,0.06504065040650407,0.3983739837398374,0.0,123,E01002977
E01002978,0.0,0.020512820512820513,0.03076923076923077,0.5641025641025641,0.07179487179487179,0.3128205128205128,0.0,195,E01002978
E01002979,0.0,0.010309278350515464,0.020618556701030927,0.3917525773195876,0.31958762886597936,0.25773195876288657,0.0,97,E01002979
E01002980,0.0,0.0,0.01680672268907563,0.6050420168067226,0.008403361344537815,0.3697478991596639,0.0,119,E01002980
E01002981,0.0,0.0,0.0,0.5606060606060606,0.10101010101010101,0.3383838383838384,0.0,198,E01002981
E01002982,0.0,0.009615384615384616,0.009615384615384616,0.5384615384615384,0.04807692307692308,0.3942307692307692,0.0,104,E01002982
E01002983,0.0,0.0,0.0,0.5098039215686274,0.09803921568627451,0.39215686274509803,0.0,204,E01002983
E01002984,0.013333333333333334,0.06666666666666667,0.04,0.64,0.02666666666666667,0.21333333333333335,0.0,75,E01002984
E01002985,0.009433962264150943,0.02830188679245283,0.009433962264150943,0.7547169811320755,0.009433962264150943,0.07547169811320754,0.11320754716981132,106,E01002985
E01002986,0.02631578947368421,0.008771929824561403,0.0,0.5263157894736842,0.16666666666666666,0.2719298245614035,0.0,114,E01002986
E01002987,0.2835820895522388,0.14925373134328357,0.07462686567164178,0.1791044776119403,0.05970149253731343,0.16417910447761194,0.08955223880597014,67,E01002987
E01002988,0.04477611940298507,0.029850746268656716,0.08955223880597014,0.4626865671641791,0.11940298507462686,0.208955223880597,0.04477611940298507,67,E01002988
E01002989,0.05194805194805195,0.025974025974025976,0.1038961038961039,0.35064935064935066,0.09090909090909091,0.06493506493506493,0.3116883116883117,77,E01002989
E01002990,0.0,0.16393442622950818,0.11475409836065574,0.19672131147540983,0.22950819672131148,0.21311475409836064,0.08196721311475409,61,E01002990
E01002991,0.009174311926605505,0.01834862385321101,0.01834862385321101,0.7155963302752294,0.05504587155963303,0.1743119266055046,0.009174311926605505,109,E01002991
E01002992,0.0,0.0,0.047619047619047616,0.6904761904761905,0.03571428571428571,0.14285714285714285,0.08333333333333333,84,E01002992
E01002993,0.0,0.16981132075471697,0.05660377358490566,0.49056603773584906,0.09433962264150944,0.16981132075471697,0.018867924528301886,53,E01002993
E01002994,0.006622516556291391,0.019867549668874173,0.006622516556291391,0.4105960264900662,0.1986754966887417,0.33112582781456956,0.026490066225165563,151,E01002994
E01002995,0.0,0.01775147928994083,0.01775147928994083,0.3431952662721893,0.21893491124260356,0.39644970414201186,0.005917159763313609,169,E01002995
E01002996,0.024691358024691357,0.0,0.04938271604938271,0.7283950617283951,0.012345679012345678,0.06172839506172839,0.12345679012345678,81,E01002996
E01002997,0.0,0.0,0.009433962264150943,0.7547169811320755,0.018867924528301886,0.14150943396226415,0.07547169811320754,106,E01002997
E01002998,0.011494252873563218,0.04597701149425287,0.034482758620689655,0.6436781609195402,0.011494252873563218,0.06896551724137931,0.1839080459770115,87,E01002998
E01002999,0.13636363636363635,0.09090909090909091,0.10606060606060606,0.2727272727272727,0.22727272727272727,0.16666666666666666,0.0,66,E01002999
E01003000,0.0,0.004,0.004,0.436,0.308,0.244,0.004,250,E01003000
E01003001,0.0,0.004761904761904762,0.009523809523809525,0.5714285714285714,0.14285714285714285,0.2714285714285714,0.0,210,E01003001
E01003002,0.057692307692307696,0.04807692307692308,0.08653846153846154,0.5,0.11538461538461539,0.16346153846153846,0.028846153846153848,104,E01003002
E01003003,0.045871559633027525,0.0,0.01834862385321101,0.6605504587155964,0.009174311926605505,0.22935779816513763,0.03669724770642202,109,E01003003
E01003004,0.046875,0.0078125,0.03125,0.4921875,0.0703125,0.3203125,0.03125,128,E01003004
E01003005,0.0,0.008403361344537815,0.0,0.5630252100840336,0.07563025210084033,0.35294117647058826,0.0,119,E01003005
E01003006,0.009900990099009901,0.0,0.0,0.43564356435643564,0.09900990099009901,0.45544554455445546,0.0,101,E01003006
E01003007,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.6097560975609756,0.0,0.36585365853658536,0.0,123,E01003007
E01003008,0.0,0.006622516556291391,0.0,0.7814569536423841,0.0,0.2119205298013245,0.0,151,E01003008
E01003009,0.0,0.015037593984962405,0.03007518796992481,0.6766917293233082,0.09774436090225563,0.18045112781954886,0.0,133,E01003009
E01003010,0.0,0.0,0.0,0.618421052631579,0.1118421052631579,0.2236842105263158,0.046052631578947366,152,E01003010
E01003011,0.022727272727272728,0.045454545454545456,0.011363636363636364,0.3068181818181818,0.18181818181818182,0.14772727272727273,0.2840909090909091,88,E01003011
E01003013,0.1724137931034483,0.1724137931034483,0.3103448275862069,0.0,0.1724137931034483,0.1724137931034483,0.0,29,E01003013
E01003014,0.2222222222222222,0.1388888888888889,0.3333333333333333,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.08333333333333333,36,E01003014
E01003015,0.0625,0.375,0.34375,0.03125,0.09375,0.03125,0.0625,32,E01003015
E01003016,0.1111111111111111,0.1111111111111111,0.6111111111111112,0.0,0.05555555555555555,0.027777777777777776,0.08333333333333333,36,E01003016
E01003017,0.2,0.03636363636363636,0.6727272727272727,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.03636363636363636,55,E01003017
E01003018,0.0891089108910891,0.0297029702970297,0.07920792079207921,0.0297029702970297,0.039603960396039604,0.039603960396039604,0.693069306930693,101,E01003018
E01003019,0.0,0.014084507042253521,0.18309859154929578,0.11267605633802817,0.014084507042253521,0.07042253521126761,0.6056338028169014,71,E01003019
E01003020,0.10666666666666667,0.02666666666666667,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.05333333333333334,0.64,75,E01003020
E01003021,0.03225806451612903,0.12903225806451613,0.16129032258064516,0.22580645161290322,0.0,0.0,0.45161290322580644,31,E01003021
E01003022,0.0,0.0,0.06153846153846154,0.2,0.046153846153846156,0.15384615384615385,0.5384615384615384,65,E01003022
E01003023,0.16666666666666666,0.08333333333333333,0.13333333333333333,0.18333333333333332,0.0,0.06666666666666667,0.36666666666666664,60,E01003023
E01003024,0.125,0.1875,0.0625,0.0625,0.25,0.3125,0.0,32,E01003024
E01003025,0.020833333333333332,0.020833333333333332,0.14583333333333334,0.10416666666666667,0.020833333333333332,0.125,0.5625,48,E01003025
E01003026,0.046296296296296294,0.018518518518518517,0.08333333333333333,0.08333333333333333,0.3055555555555556,0.1111111111111111,0.35185185185185186,108,E01003026
E01003027,0.0,0.0,0.0,0.29577464788732394,0.0,0.04225352112676056,0.6619718309859155,71,E01003027
