,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,count_x,lsoa,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Terraced,count_y,proportion_Commercial,proportion_Estates,proportion_High-density,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Terraced
3924,0.0625,0.0625,0.40625,0.21875,0.03125,0.1875,0.03125,32,E01004023,0.09090909090909091,0.12121212121212122,0.42424242424242425,0.12121212121212122,0.0,0.21212121212121213,0.030303030303030304,33,0.02840909090909091,0.058712121212121215,0.017992424242424254,-0.09753787878787878,-0.03125,0.024621212121212127,-0.0009469696969696961
3925,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,6,E01004024,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,7,0.0,-0.047619047619047616,0.26190476190476186,-0.19047619047619047,0.0,-0.023809523809523808,0.0
3926,0.3,0.16666666666666666,0.43333333333333335,0.0,0.0,0.03333333333333333,0.06666666666666667,60,E01004027,0.24242424242424243,0.09090909090909091,0.5454545454545454,0.015151515151515152,0.0,0.030303030303030304,0.07575757575757576,66,-0.05757575757575756,-0.07575757575757575,0.11212121212121207,0.015151515151515152,0.0,-0.003030303030303029,0.009090909090909094
3927,0.06451612903225806,0.22580645161290322,0.45161290322580644,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.06451612903225806,31,E01004028,0.030303030303030304,0.18181818181818182,0.5454545454545454,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.09090909090909091,33,-0.03421309872922776,-0.043988269794721396,0.09384164222873898,-0.0019550342130987275,-0.03421309872922776,-0.0058651026392961825,0.02639296187683285
3928,0.0,0.11538461538461539,0.34615384615384615,0.07692307692307693,0.2692307692307692,0.11538461538461539,0.07692307692307693,26,E01004029,0.0,0.18518518518518517,0.37037037037037035,0.14814814814814814,0.25925925925925924,0.0,0.037037037037037035,27,0.0,0.06980056980056978,0.024216524216524205,0.07122507122507121,-0.009971509971509973,-0.11538461538461539,-0.03988603988603989
3929,0.0,0.0,0.75,0.125,0.0,0.0,0.125,32,E01004030,0.03333333333333333,0.0,0.6333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,30,0.03333333333333333,0.0,-0.1166666666666667,0.04166666666666666,0.0,0.0,0.04166666666666666
3930,0.04225352112676056,0.18309859154929578,0.11267605633802817,0.08450704225352113,0.15492957746478872,0.36619718309859156,0.056338028169014086,71,E01004031,0.06944444444444445,0.1388888888888889,0.1527777777777778,0.06944444444444445,0.19444444444444445,0.3194444444444444,0.05555555555555555,72,0.027190923317683885,-0.044209702660406885,0.04010172143974962,-0.015062597809076678,0.03951486697965573,-0.04675273865414714,-0.0007824726134585333
3931,0.0,0.14285714285714285,0.25,0.35714285714285715,0.10714285714285714,0.14285714285714285,0.0,28,E01004032,0.0,0.125,0.16666666666666666,0.4583333333333333,0.125,0.125,0.0,24,0.0,-0.01785714285714285,-0.08333333333333334,0.10119047619047616,0.017857142857142863,-0.01785714285714285,0.0
3932,0.07692307692307693,0.057692307692307696,0.40384615384615385,0.07692307692307693,0.057692307692307696,0.3269230769230769,0.0,52,E01004033,0.09433962264150944,0.03773584905660377,0.41509433962264153,0.09433962264150944,0.09433962264150944,0.2641509433962264,0.0,53,0.017416545718432513,-0.019956458635703923,0.011248185776487674,0.017416545718432513,0.036647314949201745,-0.06277213352685052,0.0
3933,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.023809523809523808,0.16666666666666666,0.23809523809523808,0.0,42,E01004034,0.047619047619047616,0.2857142857142857,0.23809523809523808,0.023809523809523808,0.19047619047619047,0.21428571428571427,0.0,42,-0.047619047619047616,0.047619047619047616,0.0,0.0,0.023809523809523808,-0.023809523809523808,0.0
