,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
4785,1,,1,1,1,2,1,1,1,1,1,E00004974,,1,1,,1,1,,1,1,1,1,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,
4786,,,,,1,2,,1,,1,1,E00004975,,,,,1,3,,,1,1,1,1.0,,,0.0,,0.0,,0.0,,,
4787,,,,,1,1,,1,1,2,1,E00004976,,,1,,1,2,,1,1,1,1,1.0,,0.0,0.0,0.0,-1.0,,0.0,,,
4788,,,1,,1,2,1,1,1,1,1,E00004977,,,1,,1,1,1,,1,1,1,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
4789,1,1,,1,1,1,,,1,2,1,E00004978,,,,1,,1,,1,1,2,1,0.0,,,0.0,0.0,0.0,,,0.0,,
4790,1,,1,,1,2,,1,1,1,1,E00004979,1,,1,,1,2,1,1,1,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0
4791,,,,,,1,,,1,3,1,E00004980,,,,,1,1,,,1,3,1,0.0,,,0.0,0.0,0.0,,,,,
4792,,1,,,1,1,1,1,1,2,1,E00004981,,,1,,1,,,1,1,2,1,,,0.0,0.0,0.0,0.0,,0.0,,,
4793,1,,1,,1,2,,1,1,,1,E00004982,,1,1,1,1,1,,1,1,1,1,-1.0,,0.0,0.0,0.0,,0.0,0.0,,,
4794,,,,,1,2,,1,1,2,1,E00004983,,,,,,1,,1,1,2,1,-1.0,,0.0,0.0,0.0,0.0,,,,,
4795,1,,,,1,,,1,1,2,1,E00004984,1,1,,1,,1,,1,,2,1,,,0.0,0.0,,0.0,,,,,0.0
4796,,,,,1,1,,1,1,2,1,E00004985,,,,,,1,,1,1,2,1,0.0,,0.0,0.0,0.0,0.0,,,,,
4797,1,,1,,,1,1,1,,1,1,E00004986,1,1,1,,,1,,1,1,1,,0.0,,0.0,,,0.0,0.0,,,,0.0
4798,,1,,,,1,,,1,2,2,E00004987,,,,1,1,1,,1,1,2,1,0.0,,,-1.0,0.0,0.0,,,,,
4799,1,1,,,,1,1,1,1,2,1,E00004988,1,1,1,1,,1,,1,1,2,1,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0
4800,,,,,1,2,,1,1,1,1,E00004989,,,,,,3,,,1,1,1,1.0,,,0.0,0.0,0.0,,,,,
4801,,,,,1,1,,1,1,2,1,E00004990,,,,1,1,1,,1,,2,1,0.0,,0.0,0.0,,0.0,,0.0,,,
4802,,,,,1,1,,,,2,1,E00004992,,,,,1,1,,,,1,1,0.0,,,0.0,,-1.0,,0.0,,,
4803,,,,,1,1,,1,,2,1,E00004993,1,1,1,,1,1,,1,1,2,1,0.0,,0.0,0.0,,0.0,,0.0,,,
4804,,,,,,,,,,3,1,E00004994,1,,,,,1,,,1,3,,,,,,,0.0,,,,,
4805,,1,,,,2,,1,1,1,1,E00004995,,,,,1,1,,,1,1,1,-1.0,,,0.0,0.0,0.0,,,,,
4806,,1,,,,1,,1,1,3,1,E00004996,,,,,,1,,,1,2,1,0.0,,,0.0,0.0,-1.0,,,,,
4807,,,,,,1,,1,1,2,,E00004998,,,,,,,,,1,3,1,,,,,0.0,1.0,,,,,
4808,,,,1,,1,1,,1,2,1,E00004999,,,,,1,1,,,1,2,1,0.0,,,0.0,0.0,0.0,,,,,
4809,1,,,1,1,1,,,1,1,1,E00005000,1,,,1,1,1,,,1,1,1,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
4810,,1,,,,1,,,1,3,1,E00005001,,1,,1,,1,1,,1,2,1,0.0,,,0.0,0.0,-1.0,,,,0.0,
4811,,,,1,1,1,,,1,1,1,E00005002,,,1,,1,2,,1,1,1,2,1.0,,,1.0,0.0,0.0,,0.0,,,
4812,,1,1,,1,1,,,1,1,1,E00005003,,,1,,1,1,,,,1,1,0.0,,,0.0,,0.0,0.0,0.0,,,
4813,,,1,1,,1,,1,1,2,1,E00005004,,1,1,1,1,1,,,,2,1,0.0,,,0.0,,0.0,0.0,,0.0,,
4814,,1,,,,1,1,,1,1,1,E00005005,,1,1,,1,1,,1,1,1,1,0.0,,,0.0,0.0,0.0,,,,0.0,
4815,,,1,,,1,,1,1,2,2,E00005006,,,,,,,,,,4,,,,,,,2.0,,,,,
4816,1,1,,1,,1,,1,1,1,1,E00005007,,,1,1,1,1,1,1,1,2,1,0.0,,0.0,0.0,0.0,1.0,,,0.0,,
4817,1,1,,1,,1,,,1,1,1,E00005008,,1,,1,1,1,1,1,1,1,1,0.0,,,0.0,0.0,0.0,,,0.0,0.0,
4818,,1,1,,1,2,1,1,1,,1,E00005009,,,1,,1,1,,1,1,,2,-1.0,,0.0,1.0,0.0,,0.0,0.0,,,
4819,0,0,0,0,1,1,1,1,1,1,1,E00005010,1,0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
4820,1,1,,1,1,1,1,1,1,1,1,E00005011,1,1,1,1,,1,,1,1,1,1,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
4821,,1,1,,1,1,1,1,1,,1,E00005012,,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,
4822,,,1,,1,3,1,1,1,,1,E00005013,,,,,1,2,1,1,1,1,2,-1.0,0.0,0.0,1.0,0.0,,,0.0,,,
4823,1,,,,,1,,1,,2,1,E00005014,1,,,,,,,,,3,1,,,,0.0,,1.0,,,,,0.0
4824,,,,,1,1,,,,4,,E00005015,,,,,,,1,1,1,4,,,,,,,0.0,,,,,
4825,1,1,1,1,1,1,,1,1,1,1,E00005016,1,1,,1,,,,,1,1,1,,,,0.0,0.0,0.0,,,0.0,0.0,0.0
4826,1,,,1,1,3,,,1,,1,E00005017,1,,,1,1,1,1,1,1,,2,-2.0,,,1.0,0.0,,,0.0,0.0,,0.0
4827,1,,1,,,1,,,1,2,1,E00005018,1,,1,,,1,,,1,2,,0.0,,,,0.0,0.0,0.0,,,,0.0
4828,,,1,1,1,1,1,1,1,2,1,E00005019,,1,1,1,,1,,1,1,2,1,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,
4829,1,1,,1,1,1,,1,1,1,1,E00005020,1,,1,1,1,1,1,1,1,1,1,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
4830,,,1,1,1,1,3,1,1,,1,E00005021,,1,1,1,1,1,2,1,1,,1,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
4831,,1,1,,1,3,1,1,1,,1,E00005022,,,1,,1,1,,1,1,1,1,-2.0,,0.0,0.0,0.0,,0.0,0.0,,,
