"","LSOA11CD","clusters_2018_cleanup_Commercial","clusters_2018_cleanup_Estates","clusters_2018_cleanup_High.density","clusters_2018_cleanup_Low.density","clusters_2018_cleanup_Open.green.space","clusters_2018_cleanup_Other.green","clusters_2018_cleanup_Terraced","count","lsoa","hierarchical8"
"4121","E01004238",0.0571428571428571,0.19047619047619,0.419047619047619,0.0761904761904762,0.0285714285714286,0.228571428571429,0,105,"E01004238",1
"4122","E01004239",0.0540540540540541,0.162162162162162,0.472972972972973,0.135135135135135,0.0135135135135135,0.162162162162162,0,74,"E01004239",1
"4123","E01004240",0,0.166666666666667,0.375,0,0.125,0.0416666666666667,0.291666666666667,24,"E01004240",1
"4124","E01004241",0,0.212765957446809,0.446808510638298,0.106382978723404,0.0425531914893617,0.106382978723404,0.0851063829787234,47,"E01004241",1
"4125","E01004242",0.0978260869565217,0.184782608695652,0.630434782608696,0.0326086956521739,0,0.0326086956521739,0.0217391304347826,92,"E01004242",2
"4126","E01004243",0.0757575757575758,0.181818181818182,0.196969696969697,0.166666666666667,0.0454545454545455,0.333333333333333,0,66,"E01004243",1
"4127","E01004244",0.0555555555555556,0.375,0.388888888888889,0.125,0,0.0277777777777778,0.0277777777777778,72,"E01004244",1
"4128","E01004245",0.0348837209302326,0.162790697674419,0.476744186046512,0.0232558139534884,0,0.174418604651163,0.127906976744186,86,"E01004245",1
"4129","E01004246",0.151898734177215,0.227848101265823,0.316455696202532,0.164556962025316,0.0126582278481013,0.0759493670886076,0.0506329113924051,79,"E01004246",1
"4130","E01004247",0.15,0.1,0.433333333333333,0,0.133333333333333,0.166666666666667,0.0166666666666667,60,"E01004247",1
"4131","E01004248",0.0666666666666667,0.16,0.546666666666667,0.0666666666666667,0.0533333333333333,0.106666666666667,0,75,"E01004248",1
"4132","E01004249",0.0128205128205128,0.166666666666667,0.461538461538462,0.0384615384615385,0.0897435897435897,0.192307692307692,0.0384615384615385,78,"E01004249",1
"4133","E01004250",0.05,0.15,0.525,0.15,0.05,0.05,0.025,40,"E01004250",1
"4134","E01004251",0,0.0689655172413793,0.551724137931034,0.0689655172413793,0.0344827586206897,0.137931034482759,0.137931034482759,29,"E01004251",1
"4135","E01004252",0.142857142857143,0.226190476190476,0.535714285714286,0,0,0.0952380952380952,0,84,"E01004252",2
"4136","E01004253",0,0.457142857142857,0.371428571428571,0.1,0,0.0571428571428571,0.0142857142857143,70,"E01004253",1
"4137","E01004254",0.214285714285714,0.153061224489796,0.5,0.0306122448979592,0.0306122448979592,0.0612244897959184,0.0102040816326531,98,"E01004254",1
"4138","E01004255",0.117647058823529,0.235294117647059,0.514705882352941,0.0147058823529412,0,0.117647058823529,0,68,"E01004255",2
"4139","E01004256",0.015625,0.296875,0.46875,0.15625,0,0.046875,0.015625,64,"E01004256",1
"4140","E01004257",0.15,0.25,0.425,0.025,0.05,0,0.1,40,"E01004257",1
"4141","E01004258",0.0975609756097561,0.121951219512195,0.609756097560976,0,0.0487804878048781,0.121951219512195,0,41,"E01004258",2
"4142","E01004259",0.294117647058824,0.147058823529412,0.352941176470588,0.102941176470588,0.0147058823529412,0.0441176470588235,0.0441176470588235,68,"E01004259",1
"4143","E01004260",0.166666666666667,0.233333333333333,0.3,0.133333333333333,0,0.133333333333333,0.0333333333333333,30,"E01004260",1
"4144","E01004261",0.0980392156862745,0.450980392156863,0.352941176470588,0,0.0196078431372549,0.0784313725490196,0,51,"E01004261",1
"4145","E01004262",0.12,0.0933333333333333,0.28,0.12,0.08,0.133333333333333,0.173333333333333,75,"E01004262",1
"4146","E01004263",0.0175438596491228,0.087719298245614,0.491228070175439,0.0350877192982456,0.0175438596491228,0.0350877192982456,0.315789473684211,57,"E01004263",1
"4147","E01004264",0,0.459459459459459,0.364864864864865,0.148648648648649,0,0.0135135135135135,0.0135135135135135,74,"E01004264",1
"4148","E01004266",0.021978021978022,0.153846153846154,0.505494505494505,0.0879120879120879,0,0.0659340659340659,0.164835164835165,91,"E01004266",2
"4149","E01004267",0.03125,0.15625,0.40625,0.15625,0,0.0833333333333333,0.166666666666667,96,"E01004267",1
"4150","E01004268",0,0.178571428571429,0.607142857142857,0.142857142857143,0.0714285714285714,0,0,28,"E01004268",2
"4151","E01004269",0.142857142857143,0.154761904761905,0.452380952380952,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0357142857142857,84,"E01004269",1
"4152","E01004270",0.142857142857143,0.114285714285714,0.192857142857143,0.0142857142857143,0.0714285714285714,0.15,0.314285714285714,140,"E01004270",1
"4153","E01004271",0.0588235294117647,0.176470588235294,0.352941176470588,0.0294117647058824,0.0294117647058824,0.264705882352941,0.0882352941176471,34,"E01004271",1
"4154","E01004272",0.173076923076923,0.230769230769231,0.442307692307692,0.115384615384615,0,0,0.0384615384615385,52,"E01004272",1
"4155","E01004273",0.0526315789473684,0.157894736842105,0.273684210526316,0.189473684210526,0.0842105263157895,0.221052631578947,0.0210526315789474,95,"E01004273",1
"4156","E01004274",0.0289855072463768,0.130434782608696,0.521739130434783,0.260869565217391,0,0.0144927536231884,0.0434782608695652,69,"E01004274",2
"4157","E01004275",0.0277777777777778,0.194444444444444,0.435185185185185,0.203703703703704,0,0.037037037037037,0.101851851851852,108,"E01004275",1
"4158","E01004276",0,0.032258064516129,0.741935483870968,0.193548387096774,0,0,0.032258064516129,31,"E01004276",2
"4159","E01004277",0.107142857142857,0,0.214285714285714,0,0.0714285714285714,0.607142857142857,0,28,"E01004277",5
"4160","E01004280",0.02,0.24,0.38,0.22,0.04,0.1,0,50,"E01004280",1
"4161","E01004281",0,0.275862068965517,0,0.206896551724138,0.482758620689655,0.0344827586206897,0,29,"E01004281",1
"4162","E01004283",0.04,0.24,0.373333333333333,0.0933333333333333,0.106666666666667,0.133333333333333,0.0133333333333333,75,"E01004283",1
"4163","E01004284",0.0247933884297521,0.115702479338843,0.603305785123967,0.12396694214876,0.0495867768595041,0.0743801652892562,0.00826446280991736,121,"E01004284",2
"4164","E01004285",0.15625,0.166666666666667,0.427083333333333,0.197916666666667,0,0.0104166666666667,0.0416666666666667,96,"E01004285",1
"4165","E01004286",0.0196078431372549,0.117647058823529,0.637254901960784,0.137254901960784,0,0.0196078431372549,0.0686274509803922,102,"E01004286",2
"4166","E01004287",0,0.388888888888889,0.444444444444444,0,0,0.111111111111111,0.0555555555555556,18,"E01004287",1
"4167","E01004288",0.178571428571429,0.107142857142857,0.410714285714286,0,0.0178571428571429,0.196428571428571,0.0892857142857143,56,"E01004288",1
"4168","E01004289",0.0882352941176471,0.161764705882353,0.529411764705882,0.0294117647058824,0.0147058823529412,0.0441176470588235,0.132352941176471,68,"E01004289",2
"4169","E01004290",0.195402298850575,0.218390804597701,0.402298850574713,0.0574712643678161,0,0.0689655172413793,0.0574712643678161,87,"E01004290",1
"4170","E01004291",0.104166666666667,0.177083333333333,0.65625,0.03125,0.0104166666666667,0.0208333333333333,0,96,"E01004291",2
"4171","E01004292",0,0.176470588235294,0.205882352941176,0.5,0,0.117647058823529,0,34,"E01004292",4
"4172","E01004293",0.0978260869565217,0.228260869565217,0.478260869565217,0.0760869565217391,0.0217391304347826,0.0760869565217391,0.0217391304347826,92,"E01004293",2
"4173","E01004294",0.202702702702703,0.0135135135135135,0.648648648648649,0.027027027027027,0.027027027027027,0.0810810810810811,0,74,"E01004294",2
"4174","E01004295",0.0333333333333333,0.133333333333333,0.7,0,0,0.1,0.0333333333333333,30,"E01004295",2
"4175","E01004296",0.0416666666666667,0.354166666666667,0.583333333333333,0.0208333333333333,0,0,0,48,"E01004296",1
"4176","E01004297",0.04,0.12,0.626666666666667,0.04,0.12,0.0266666666666667,0.0266666666666667,75,"E01004297",2
"4177","E01004298",0.108108108108108,0.0810810810810811,0.432432432432432,0.189189189189189,0,0.0810810810810811,0.108108108108108,37,"E01004298",1
"4178","E01004300",0.0526315789473684,0.105263157894737,0.631578947368421,0,0,0.157894736842105,0.0526315789473684,19,"E01004300",2
"4179","E01004301",0.358974358974359,0.153846153846154,0.384615384615385,0.0512820512820513,0,0,0.0512820512820513,39,"E01004301",1
"4180","E01004302",0.368421052631579,0.157894736842105,0.421052631578947,0,0,0.0526315789473684,0,38,"E01004302",1
"4181","E01004303",0.0121951219512195,0.268292682926829,0.463414634146341,0.0365853658536585,0.0975609756097561,0.109756097560976,0.0121951219512195,82,"E01004303",1
"4182","E01004304",0.333333333333333,0.0888888888888889,0.466666666666667,0,0,0.0888888888888889,0.0222222222222222,45,"E01004304",1
