"","oa_name","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","count","OA","hierarchical8"
"16780","E00017448",0.0204081632653061,0.224489795918367,0,0.36734693877551,0.0408163265306122,0.346938775510204,0,49,"E00017448",4
"16781","E00017449",0,0.0294117647058824,0.0294117647058824,0.470588235294118,0,0.470588235294118,0,34,"E00017449",6
"16782","E00017450",0,0.195652173913043,0.152173913043478,0.543478260869565,0.0217391304347826,0.0869565217391304,0,46,"E00017450",9
"16783","E00017451",0,0.111111111111111,0,0.555555555555556,0.0555555555555556,0.277777777777778,0,36,"E00017451",6
"16784","E00017452",0,0,0,0.591836734693878,0.0612244897959184,0.346938775510204,0,49,"E00017452",9
"16785","E00017453",0.0285714285714286,0.114285714285714,0,0.685714285714286,0,0.171428571428571,0,35,"E00017453",9
"16786","E00017454",0,0.0540540540540541,0,0.783783783783784,0.0810810810810811,0.0810810810810811,0,37,"E00017454",9
"16787","E00017455",0,0,0.0909090909090909,0.345454545454545,0.0909090909090909,0.436363636363636,0.0363636363636364,55,"E00017455",4
"16788","E00017456",0,0.0434782608695652,0.072463768115942,0.202898550724638,0.188405797101449,0.492753623188406,0,69,"E00017456",6
"16789","E00017457",0,0.0909090909090909,0.136363636363636,0.113636363636364,0.159090909090909,0.5,0,88,"E00017457",6
"16790","E00017458",0,0.176470588235294,0,0.372549019607843,0,0.450980392156863,0,51,"E00017458",6
"16791","E00017459",0.0185185185185185,0.0740740740740741,0.037037037037037,0.648148148148148,0.037037037037037,0.185185185185185,0,54,"E00017459",9
"16792","E00017460",0,0.087719298245614,0,0.421052631578947,0.0175438596491228,0.473684210526316,0,57,"E00017460",6
"16793","E00017461",0,0.0645161290322581,0,0.161290322580645,0.0967741935483871,0.67741935483871,0,31,"E00017461",8
"16794","E00017462",0,0.2,0.0666666666666667,0.2,0.4,0.133333333333333,0,15,"E00017462",11
