OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
E00000141,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0
E00000142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000143,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
E00000144,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
E00000145,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E00000146,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
E00000147,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000148,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
E00000149,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
E00000150,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
E00000151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000152,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000154,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
E00000155,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E00000156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000157,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
E00000158,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
E00000159,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
E00000160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
E00000161,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
E00000162,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0
E00000163,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E00000164,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
E00000165,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
E00000166,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0
E00000167,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
