,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
2324,1,0,1,1,1,5,1,2,1,1,1,E01002378,0,1,1,1,1,5,1,3,1,0,2,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
2325,1,1,1,1,2,3,1,2,1,1,1,E01002379,1,1,1,1,1,3,1,2,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2326,0,1,1,1,1,3,1,2,2,1,1,E01002380,0,1,1,1,1,3,1,2,1,1,1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2327,1,1,1,1,2,3,1,2,2,0,1,E01002381,1,1,1,1,2,3,1,2,1,1,2,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
2328,0,1,1,1,1,4,1,2,2,1,1,E01002382,1,1,1,1,1,4,1,1,1,1,2,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
2329,1,1,1,1,1,5,1,2,1,1,1,E01002383,0,1,1,1,1,5,1,2,1,0,2,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2330,1,1,1,1,1,5,1,2,1,1,1,E01002384,1,1,1,1,1,5,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2331,1,1,1,1,1,1,8,1,1,1,1,E01002385,1,1,1,1,1,1,8,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2332,2,1,1,1,1,3,1,1,1,1,1,E01002386,2,1,1,1,1,2,1,2,1,1,2,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333,0,0,1,0,1,5,2,2,1,1,1,E01002387,0,1,1,1,2,4,2,2,1,0,1,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0
2334,0,1,1,1,1,5,1,3,1,1,1,E01002388,0,1,1,0,1,4,1,3,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2335,0,1,1,0,1,4,3,2,1,1,1,E01002389,0,1,1,0,2,3,3,2,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2336,1,0,1,0,1,5,1,3,1,0,1,E01002390,1,1,1,0,2,4,1,3,1,0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
