"","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","hierarchical8","LSOA11CD"
"667",0,0.0204918032786885,0.0245901639344262,0.651639344262295,0.040983606557377,0.258196721311475,0.00409836065573771,3,"E01000681"
"668",0.0125628140703518,0.0050251256281407,0.0150753768844221,0.457286432160804,0.180904522613065,0.329145728643216,0,6,"E01000682"
"669",0.00952380952380952,0.00476190476190476,0.0380952380952381,0.504761904761905,0.138095238095238,0.3,0.00476190476190476,6,"E01000683"
"670",0,0.0204678362573099,0.0350877192982456,0.564327485380117,0.108187134502924,0.263157894736842,0.0087719298245614,6,"E01000684"
"671",0.0092378752886836,0.0554272517321016,0.0046189376443418,0.286374133949192,0.394919168591224,0.249422632794457,0,7,"E01000685"
"672",0.00492610837438424,0.00246305418719212,0.0221674876847291,0.261083743842365,0.399014778325123,0.310344827586207,0,7,"E01000686"
"673",0.016260162601626,0.00813008130081301,0.0447154471544715,0.528455284552846,0.134146341463415,0.235772357723577,0.032520325203252,6,"E01000687"
"674",0,0.0165289256198347,0.0110192837465565,0.360881542699725,0.289256198347107,0.316804407713499,0.00550964187327824,6,"E01000688"
"675",0.00746268656716418,0.041044776119403,0.00373134328358209,0.402985074626866,0.328358208955224,0.216417910447761,0,6,"E01000689"
"676",0.00381679389312977,0.0152671755725191,0.0152671755725191,0.610687022900763,0.122137404580153,0.225190839694656,0.00763358778625954,3,"E01000690"
"677",0.0103092783505155,0.0257731958762887,0.0309278350515464,0.670103092783505,0.0309278350515464,0.221649484536082,0.0103092783505155,3,"E01000691"
"678",0.0649819494584837,0.0108303249097473,0.0433212996389892,0.465703971119134,0.133574007220217,0.205776173285199,0.075812274368231,6,"E01000692"
"679",0.00350262697022767,0.0175131348511384,0.0122591943957968,0.117338003502627,0.625218914185639,0.217162872154116,0.00700525394045534,7,"E01000693"
"680",0,0.0102827763496144,0.0077120822622108,0.393316195372751,0.259640102827764,0.326478149100257,0.0025706940874036,6,"E01000694"
"681",0,0.00574712643678161,0.0114942528735632,0.35632183908046,0.347701149425287,0.275862068965517,0.0028735632183908,6,"E01000695"
"682",0.00278940027894003,0.0125523012552301,0.0167364016736402,0.153417015341702,0.624825662482566,0.181311018131102,0.00836820083682008,7,"E01000696"
"683",0.00611620795107034,0.0428134556574924,0.0244648318042813,0.305810397553517,0.348623853211009,0.259938837920489,0.0122324159021407,6,"E01000697"
"684",0,0,0,0.206106870229008,0.519083969465649,0.274809160305344,0,7,"E01000698"
"685",0.101010101010101,0.0101010101010101,0.0101010101010101,0.525252525252525,0.0101010101010101,0.171717171717172,0.171717171717172,3,"E01000699"
"686",0,0.0789473684210526,0.0526315789473684,0.37719298245614,0.0263157894736842,0.140350877192982,0.324561403508772,3,"E01000700"
"687",0.0072992700729927,0.0072992700729927,0.0218978102189781,0.766423357664234,0,0.0072992700729927,0.18978102189781,3,"E01000701"
"688",0.00735294117647059,0.00735294117647059,0.0220588235294118,0.654411764705882,0.00735294117647059,0.0514705882352941,0.25,3,"E01000702"
"689",0.0387096774193548,0.0193548387096774,0.0516129032258065,0.529032258064516,0.0451612903225806,0.12258064516129,0.193548387096774,3,"E01000703"
"690",0.0105820105820106,0,0.037037037037037,0.603174603174603,0.0952380952380952,0.111111111111111,0.142857142857143,3,"E01000704"
"691",0,0.0326086956521739,0.0217391304347826,0.597826086956522,0.0108695652173913,0.0760869565217391,0.260869565217391,3,"E01000705"
"692",0,0.0579710144927536,0.0072463768115942,0.471014492753623,0.115942028985507,0.181159420289855,0.166666666666667,3,"E01000706"
"693",0.0100502512562814,0,0.0301507537688442,0.608040201005025,0.0201005025125628,0.105527638190955,0.226130653266332,3,"E01000707"
"694",0.0104166666666667,0.00520833333333333,0.0416666666666667,0.744791666666667,0.0104166666666667,0.1875,0,3,"E01000708"
"695",0.0355329949238579,0.0406091370558376,0.0406091370558376,0.350253807106599,0.121827411167513,0.406091370558376,0.0050761421319797,6,"E01000709"
"696",0,0.0389105058365759,0.0350194552529183,0.1284046692607,0.373540856031128,0.424124513618677,0,7,"E01000710"
"697",0,0.0537634408602151,0.0161290322580645,0.139784946236559,0.231182795698925,0.559139784946237,0,4,"E01000711"
"698",0,0.0396039603960396,0.0346534653465347,0.287128712871287,0.217821782178218,0.420792079207921,0,6,"E01000712"
"699",0,0.0132743362831858,0.0132743362831858,0.252212389380531,0.29646017699115,0.424778761061947,0,6,"E01000713"
"700",0.288401253918495,0.0156739811912226,0.0846394984326019,0.332288401253919,0.0752351097178683,0.178683385579937,0.0250783699059561,6,"E01000714"
"701",0.0352941176470588,0.105882352941176,0.0274509803921569,0.43921568627451,0.12156862745098,0.247058823529412,0.0235294117647059,6,"E01000715"
"702",0,0.0684931506849315,0.0136986301369863,0.441780821917808,0.133561643835616,0.342465753424658,0,6,"E01000716"
"703",0,0.0643939393939394,0,0.431818181818182,0.159090909090909,0.329545454545455,0.0151515151515152,6,"E01000717"
"704",0,0.0608695652173913,0.0434782608695652,0.347826086956522,0.256521739130435,0.291304347826087,0,6,"E01000718"
"705",0.018018018018018,0.036036036036036,0.108108108108108,0.31981981981982,0.18018018018018,0.310810810810811,0.027027027027027,6,"E01000719"
"706",0.000736377025036819,0.00810014727540501,0.00957290132547865,0.069219440353461,0.843151693667158,0.069219440353461,0,7,"E01000720"
"707",0.0340909090909091,0.107954545454545,0.0965909090909091,0.244318181818182,0.272727272727273,0.244318181818182,0,4,"E01000721"
"708",0.0263157894736842,0.00717703349282297,0.0215311004784689,0.385167464114833,0.177033492822967,0.375598086124402,0.00717703349282297,6,"E01000722"
"709",0,0.0136054421768707,0.00340136054421769,0.537414965986395,0.251700680272109,0.193877551020408,0,6,"E01000723"
"710",0,0.0842105263157895,0.0280701754385965,0.298245614035088,0.287719298245614,0.301754385964912,0,7,"E01000724"
"711",0.0119521912350598,0.0438247011952191,0.123505976095618,0.382470119521912,0.143426294820717,0.270916334661355,0.0239043824701195,6,"E01000725"
"712",0.00471698113207547,0.00943396226415094,0.0518867924528302,0.495283018867925,0.0849056603773585,0.320754716981132,0.0330188679245283,6,"E01000726"
"713",0.0454545454545455,0.0181818181818182,0.0393939393939394,0.527272727272727,0.0727272727272727,0.251515151515152,0.0454545454545455,6,"E01000727"
"714",0.00614439324116743,0.00460829493087558,0.0230414746543779,0.184331797235023,0.639016897081413,0.142857142857143,0,7,"E01000728"
"715",0.0333333333333333,0.138888888888889,0.0111111111111111,0.383333333333333,0.105555555555556,0.327777777777778,0,6,"E01000729"
"716",0.0333333333333333,0.025,0.0208333333333333,0.270833333333333,0.170833333333333,0.479166666666667,0,6,"E01000730"
"717",0,0.0414201183431953,0.00591715976331361,0.556213017751479,0.0236686390532544,0.372781065088757,0,6,"E01000731"
"718",0,0.0623052959501558,0.00311526479750779,0.504672897196262,0.0498442367601246,0.38006230529595,0,6,"E01000732"
"719",0.00518134715025907,0.0362694300518135,0.0233160621761658,0.344559585492228,0.282383419689119,0.305699481865285,0.00259067357512953,6,"E01000733"
