,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
145,663584_d,13,0.3048085237770902,Estates,663584,E00015189,E00015189,E01003015,717447,-0.115505969780508,51.493994538583294,bb8NesrnwtHGMF6b-pTmXA,51.4940202376776,-0.115507526162591,4,2019,117.582029207797,A03E43FE-9CEE-4B2B-88A6-52CC30449A37,663584,663584_d,,d
147,662759_d,15,0.5037513602909598,Commercial,662759,E00015189,E00015189,E01003015,716547,-0.114230984597786,51.4942032195901,IYZflD7eCBCL7kkZlWEibw,51.494397927592495,-0.1145716202465969,4,2019,222.157862116344,1C67E07B-E0A4-425C-B8D4-21CDBC9086DD,662759,662759_d,,d
148,663426_d,10,0.3291875194220852,High-density,663426,E00015189,E00015189,E01003015,717273,-0.115035107921189,51.4951036983624,9oCd3LjcG5uLcBojzud6QQ,51.4951368045145,-0.115069304414265,11,2020,156.150289918635,13EF6CA2-6D5C-4B7B-ACFA-674213326CEF,663426,663426_d,,d
149,662758_d,15,0.4311122224693491,Commercial,662758,E00015189,E00015189,E01003015,716546,-0.114042530988389,51.49433918540689,jdz-tQn-V-d6zhelN01unA,51.4945178918163,-0.114394803412288,8,2020,222.157862116344,1C67E07B-E0A4-425C-B8D4-21CDBC9086DD,662758,662758_d,,d
153,663418_d,10,0.01973997090333,High-density,663418,E00015189,E00015189,E01003015,717265,-0.115714737036499,51.49487387780721,VjTtrsH2fiuhRotaAubz8g,51.49489129868711,-0.115708885080506,11,2020,121.809051592282,5A669747-6F6C-4E57-A4CF-35879B66A464,663418,663418_d,,d
154,663362_d,15,0.4900662654025028,Commercial,663362,E00015189,E00015189,E01003015,717205,-0.1145760093428359,51.49437761695721,z24s_FUF0OUn9S9qYoEGMw,51.4943874077164,-0.114588070905496,8,2020,222.157862116344,1C67E07B-E0A4-425C-B8D4-21CDBC9086DD,663362,663362_d,,d
155,663421_d,10,0.3489675141408851,High-density,663421,E00015189,E00015189,E01003015,717268,-0.114442280024823,51.4948946754899,CaKX1US6uup9ujkxMZ7zKA,51.4949070817644,-0.114493211495087,11,2020,247.38013505191003,2BBC9186-DD6F-49D2-864B-32D9F61DF927,663421,663421_d,,d
156,663422_d,13,0.001,Estates,663422,E00015189,E00015189,E01003015,717269,-0.114710918229245,51.494829821023,VyZPS_u4F_k8OR7UblaI4A,51.494855252928296,-0.1146072026419559,11,2020,338.188322453083,2BBC9186-DD6F-49D2-864B-32D9F61DF927,663422,663422_d,,d
157,781076_d,8,0.001,Low-density,781076,E00020381,E00020381,E01004050,844328,-0.0852844500285481,51.467576465671215,gEE8NiuUzBGA35FUJDxTNA,51.467421695353785,-0.0860157012958151,7,2021,158.772563327694,2730489E-21BC-4B4B-A68C-4B20F58CEED8,781076,781076_d,,d
159,781040_d,10,0.3190709283872792,High-density,781040,E00020381,E00020381,E01004050,844288,-0.0857381062523888,51.46824745599179,FkpZPNL_NdsRjqHfZX3n1g,51.468247913562,-0.085748483710552,9,2020,243.642815184869,9E10C1DE-6CA0-4170-AFC5-D62B539A2036,781040,781040_d,,d
160,781044_d,13,0.2902237007027594,Estates,781044,E00020381,E00020381,E01004050,844292,-0.0862009304039592,51.4676400956148,59sVq77EmABE-7H9X2oQ5Q,51.46764590330879,-0.0861933370488977,5,2021,158.772563327421,2730489E-21BC-4B4B-A68C-4B20F58CEED8,781044,781044_d,,d
163,781045_d,13,0.0920924376680701,Estates,781045,E00020381,E00020381,E01004050,844293,-0.0861037520356984,51.46747085954001,BK0wI2P976sRpE5tD22Ovw,51.4674722904768,-0.0860965871937949,9,2020,158.772563327694,2730489E-21BC-4B4B-A68C-4B20F58CEED8,781045,781045_d,,d
164,781041_d,10,0.1559016837410604,High-density,781041,E00020381,E00020381,E01004050,844289,-0.0858640174074034,51.468409136091296,Gn36nigig7EQ7XryEvZJYg,51.4682927177779,-0.0857481737946582,9,2020,243.642815184869,9E10C1DE-6CA0-4170-AFC5-D62B539A2036,781041,781041_d,,d
165,781100_d,11,0.0156758116480838,Open green space,781100,E00020381,E00020381,E01004050,844352,-0.0847712733454922,51.4684812815209,tIr2ftX6enyaS_8x8k6DaQ,51.4684623256202,-0.0849620527719079,9,2020,144.321143798521,A6F0CC4B-97D7-4706-89C4-A38D999590B2,781100,781100_d,,d
166,781043_d,13,0.2755891315662933,Estates,781043,E00020381,E00020381,E01004050,844291,-0.0861158423538387,51.4687324958996,c8HZLunAQjCc6ree4C-wPw,51.468549132315104,-0.0868222159116737,2,2018,183.179830119864,1DE9FACC-F77F-4969-83E2-45348AA4CC02,781043,781043_d,,d
