,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
82,780916_b,4,0.0718423657118683,Low-density,780916,E00020380,E00020380,E01004050,844155,-0.0767758704764144,51.46879493507279,Nm3ErM-AJjQ3DywFoetaqw,51.46871828660971,-0.0767450915324884,9,2020,183.359851137323,59AD12D2-870A-411F-8B8A-D93DBB7DD79F,780916,780916_b,,b
85,781137_b,4,0.1982680836517589,Low-density,781137,E00020380,E00020380,E01004050,844393,-0.0774554510719999,51.46819837564721,bv22-0Hx1cv70CrXWDXzIQ,51.4682018942231,-0.0774524075961573,9,2020,228.113911594782,9C5107FC-45C2-466A-9554-56F5E46C2034,781137,781137_b,,b
86,780923_b,4,0.001,Low-density,780923,E00020380,E00020380,E01004050,844162,-0.0760900202719439,51.468637660836286,_3MWlaBD2oSSQaFGhS875g,51.4686373265816,-0.0760168039300628,2,2018,233.666169131578,BCAAD5F2-D657-4FF3-974C-86A9C0238EB9,780923,780923_b,,b
87,780925_b,2,0.001,Other green,780925,E00020380,E00020380,E01004050,844164,-0.0765626087767981,51.4684322932664,XaFXe_v5Ak9olzccMklOGg,51.4684287026758,-0.0766218776852881,2,2018,271.22919569967496,BCAAD5F2-D657-4FF3-974C-86A9C0238EB9,780925,780925_b,,b
88,371298_b,1,0.2474807716564013,Open green space,371298,E00016908,E00016908,E01003336,401879,-0.0448641919909616,51.4610478874109,s4h6_CYqJrdfstUzJGhe3A,51.4610782653049,-0.0448373414665129,8,2020,258.77420223726,16E14A27-7A68-43E2-B7A4-36A09455C36D,371298,371298_b,,b
93,371310_b,6,0.1514639413406949,Other green,371310,E00016908,E00016908,E01003336,401891,-0.043958144491644,51.4609325737226,oB1IbQPUFMU9XgA2eRe4XQ,51.46093794477321,-0.0439699995150482,4,2019,227.290610042639,DF5D9485-8128-45E8-8B85-53F473EFE9E1,371310,371310_b,,b
98,371311_b,10,0.2069481893429889,High-density,371311,E00016908,E00016908,E01003336,401892,-0.0436704353841139,51.4609277729288,77SStOrP-7I6wnEmU-E4rw,51.4609417311716,-0.0437020687659841,8,2020,90.0,057EC6BB-F196-4C66-9E1A-575F5FF39F42,371311,371311_b,,b
99,371313_b,6,0.001,Other green,371313,E00016908,E00016908,E01003336,401895,-0.0439759287670911,51.4609545945975,kmtOQAtceqDH1tiHMtZW8Q,51.460950610400296,-0.0439611686709453,8,2020,227.290610042639,DF5D9485-8128-45E8-8B85-53F473EFE9E1,371313,371313_b,,b
100,371297_b,11,0.307143251839131,Open green space,371297,E00016908,E00016908,E01003336,401878,-0.0450202409963801,51.46094968377461,dlfVKnRwyPa9ddNjlC1xcg,51.4609481378289,-0.0449892081445982,8,2020,178.92229873028805,16E14A27-7A68-43E2-B7A4-36A09455C36D,371297,371297_b,,b
101,371318_b,13,0.3316281862738646,Estates,371318,E00016907,E00016907,E01003336,401900,-0.0411284111517271,51.4611430568377,IhQmCRbKaHcGBsFHAS1p5A,51.46113437649421,-0.0410752748073552,5,2018,135.806929455102,28E7A4AD-0D4A-423B-8AB9-F880B41B6318,371318,371318_b,,b
