,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
118,753733_d,9,1,Green space,753733,E00171483,E00171483,E01004392,yNzohCjsctpVEaOzOjM3Ew,51.581594423494,-0.0312725352208453,E00171483
119,753733_b,13,3,,753733,E00171483,E00171483,E01004392,yNzohCjsctpVEaOzOjM3Ew,51.581594423494,-0.0312725352208453,E00171483
120,753725_d,4,19,,753725,E00171483,E00171483,E01004392,jfQ-C1w5OTP2_eT-3OVZsw,51.5820117466357,-0.029134721248871,E00171483
121,753725_b,7,10,High-density,753725,E00171483,E00171483,E01004392,jfQ-C1w5OTP2_eT-3OVZsw,51.5820117466357,-0.029134721248871,E00171483
122,753845_d,12,17,,753845,E00171483,E00171483,E01004392,Afj_-X8KMUKwkYfb9R81vQ,51.5833202936098,-0.0288174169352613,E00171483
123,753845_b,4,19,,753845,E00171483,E00171483,E01004392,Afj_-X8KMUKwkYfb9R81vQ,51.5833202936098,-0.0288174169352613,E00171483
124,753074_d,12,17,,753074,E00171483,E00171483,E01004392,RwM-K-ZlTwZFw9bLTor4gw,51.5840068313884,-0.0285835619176288,E00171483
125,753074_b,19,13,Estates,753074,E00171483,E00171483,E01004392,RwM-K-ZlTwZFw9bLTor4gw,51.5840068313884,-0.0285835619176288,E00171483
126,753082_d,8,12,,753082,E00171483,E00171483,E01004392,VWPRqnZae764tbYSoJSM3w,51.5833433065017,-0.0279441125748335,E00171483
127,753082_b,17,9,Low-density,753082,E00171483,E00171483,E01004392,VWPRqnZae764tbYSoJSM3w,51.5833433065017,-0.0279441125748335,E00171483
128,753843_d,4,19,,753843,E00171483,E00171483,E01004392,9sNywL7gQkh7OYBgl1v9oQ,51.5831650431471,-0.0293470566050793,E00171483
129,753843_b,19,13,Estates,753843,E00171483,E00171483,E01004392,9sNywL7gQkh7OYBgl1v9oQ,51.5831650431471,-0.0293470566050793,E00171483
130,753833_b,8,12,,753833,E00171483,E00171483,E01004392,7O5QVSDESr-oD83fONy5Fg,51.5829990618116,-0.0300744421151588,E00171483
131,753833_d,5,5,,753833,E00171483,E00171483,E01004392,7O5QVSDESr-oD83fONy5Fg,51.5829990618116,-0.0300744421151588,E00171483
132,753780_d,12,17,,753780,E00171483,E00171483,E01004392,bcW-5ua0iZxqBb6BAZOBYQ,51.5821714753653,-0.0279965259726162,E00171483
133,753780_b,13,3,,753780,E00171483,E00171483,E01004392,bcW-5ua0iZxqBb6BAZOBYQ,51.5821714753653,-0.0279965259726162,E00171483
134,753783_b,7,10,High-density,753783,E00171483,E00171483,E01004392,FZOatWYHXxCx2AyWuF0o7Q,51.5825641900294,-0.0278987203323463,E00171483
135,753783_d,1,18,,753783,E00171483,E00171483,E01004392,FZOatWYHXxCx2AyWuF0o7Q,51.5825641900294,-0.0278987203323463,E00171483
136,754249_d,12,17,,754249,E00171483,E00171483,E01004392,zODYsYNCucvXMwXkyGks8w,51.5813846597165,-0.0320653763258334,E00171483
