,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
98,519136_d,13,0.3723130279767614,Estates,519136,E00015169,E00015169,E01003015,716541,-0.114485282594154,51.49387223815479,lurGGDzmWdz_bewCy_NAhg,51.4938801472106,-0.114468181252631,6,2008,127.57429291233,20629EAB-945E-4AAF-9BDC-969E71BC360A,519136,519136_d,d
99,519184_d,10,0.2656030326873673,High-density,519184,E00015169,E00015169,E01003015,716613,-0.112423159862344,51.494738490280106,qoU0By2-cDbzbG-CD2FHEA,51.49425528706779,-0.112895002530208,5,2012,126.745089859287,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519184,519184_d,d
101,519156_d,10,0.2469887873878249,High-density,519156,E00015169,E00015169,E01003015,716575,-0.113319176602495,51.4947548626056,mdfCuM5v1DKq1W6pqVLqBA,51.49460103625461,-0.113588160969409,5,2012,127.221899424012,D104559C-2613-4515-8BEC-DAFAF650183A,519156,519156_d,d
102,519135_d,13,0.228194699731096,Estates,519135,E00015169,E00015169,E01003015,716540,-0.11426157360886,51.4937589935538,l-9pH7ZtIGvaPExUljIocw,51.4937643524833,-0.114234635754707,6,2008,127.57429291233,20629EAB-945E-4AAF-9BDC-969E71BC360A,519135,519135_d,d
103,519137_d,13,0.2993832851482805,Estates,519137,E00015169,E00015169,E01003015,716542,-0.114708992692332,51.4939854823381,YbHcNvgT72g6Rh4iYTVcuQ,51.4939785646982,-0.114667654730206,6,2008,127.564653693348,20629EAB-945E-4AAF-9BDC-969E71BC360A,519137,519137_d,d
105,519185_d,10,0.576505412966053,High-density,519185,E00015169,E00015169,E01003015,716615,-0.1122183841403819,51.49444118370271,-_Fok5eS2IOZi2sVDk-vJA,51.4941503528602,-0.112692839071057,5,2012,126.737447611028,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519185,519185_d,d
109,615398_d,10,0.4544036265455209,High-density,615398,E00020195,E00020195,E01004013,843950,-0.0735575525894183,51.476009934113705,AOcnVju6RRyjcnnjmyP0Xg,51.476083568563006,-0.0734877301479534,5,2012,164.604450746005,136C5135-1F75-4D7A-93AE-62CE72EC68A3,615398,615398_d,d
110,615397_d,10,0.3508258084384015,High-density,615397,E00020195,E00020195,E01004013,843949,-0.0734884457061827,51.475835399756896,8Dl016oUoxu_m-9msl1UIQ,51.4758318783766,-0.0733911986554748,5,2012,164.604450746005,136C5135-1F75-4D7A-93AE-62CE72EC68A3,615397,615397_d,d
112,615152_d,6,0.1533321524988778,Other green,615152,E00020195,E00020195,E01004013,843644,-0.0740618888048958,51.476541187906506,zw4H_z94-_4Yjd95Oam-rQ,51.476505589411104,-0.0742215406987862,5,2012,262.196512712965,F1C7AE62-65F0-409E-9325-B9B4FBFD4F84,615152,615152_d,d
113,615155_d,2,0.2893932948960196,Other green,615155,E00020195,E00020195,E01004013,843647,-0.0742312101558344,51.4766706563877,t3HtWNUIp84O5x5cNbX53A,51.4766199952721,-0.0741764637578977,5,2012,262.196512712965,F1C7AE62-65F0-409E-9325-B9B4FBFD4F84,615155,615155_d,d
114,615373_d,9,0.0300542851848437,Low-density,615373,E00020195,E00020195,E01004013,843917,-0.0742963476174844,51.4756996101737,c4Uu7yBrjZv3AiiUHxDK4Q,51.4756913994265,-0.0742596101630944,5,2012,164.977730528684,A273067D-915C-490F-86B5-BA8050F30A17,615373,615373_d,d
115,615371_d,2,0.1651697346479761,Other green,615371,E00020195,E00020195,E01004013,843915,-0.074595352223346,51.4758829517117,eTWPFa16Z_tfUSSAZZ3gcw,51.475882229629,-0.0745886269397017,5,2012,164.98489521785,A273067D-915C-490F-86B5-BA8050F30A17,615371,615371_d,d
116,615396_d,10,0.1823058590456333,High-density,615396,E00020195,E00020195,E01004013,843948,-0.0734193393339051,51.4756608653599,py6cK66ySgBLNg1klpB63w,51.475675021947495,-0.0733303886782256,5,2012,164.604450746005,136C5135-1F75-4D7A-93AE-62CE72EC68A3,615396,615396_d,d
118,615370_d,9,0.3042478561248103,Low-density,615370,E00020195,E00020195,E01004013,843914,-0.0748757871831379,51.4758422548444,8Mi12V7mR5mYCoSZcGJ13Q,51.4758496530127,-0.0748700656798493,6,2008,75.41108126712541,A273067D-915C-490F-86B5-BA8050F30A17,615370,615370_d,d
119,615151_d,2,0.3140286752428312,Other green,615151,E00020195,E00020195,E01004013,843643,-0.0737757135830205,51.4765609065141,_Vaum-DtW7ETBugZhMQF7g,51.4765558287514,-0.0737052246537604,5,2012,262.19651271308203,F1C7AE62-65F0-409E-9325-B9B4FBFD4F84,615151,615151_d,d
120,615399_d,10,0.5656528322284758,High-density,615399,E00020195,E00020195,E01004013,843951,-0.0736266599836198,51.4761844684303,lkMm-KJZ3qfaHJISbB3BSA,51.4762489664042,-0.0735489287528374,5,2012,164.604450746005,136C5135-1F75-4D7A-93AE-62CE72EC68A3,615399,615399_d,d
121,623518_d,13,0.4622197286228401,Estates,623518,E00019815,E00019815,E01003940,855215,-0.0866202820905367,51.4987410512848,RDynepXctHqbd8df2h-tpg,51.4987765315691,-0.0866089451288518,9,2009,94.8006843746873,147641E4-87CD-4777-BBA4-FC8D4C92EF24,623518,623518_d,d
124,623750_d,13,0.1682402089389046,Estates,623750,E00019815,E00019815,E01003940,855541,-0.0862439788488349,51.498239683189794,wfEzyHhe0Uq6ZjTaqrGc1w,51.49824313305179,-0.0862791282416077,9,2009,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,623750,623750_d,d
126,623500_d,10,0.3530703703666941,High-density,623500,E00019815,E00019815,E01003940,855192,-0.0860861693653089,51.498472548940704,w9Rzgz3mQ3eFeKroV8t59g,51.4984309646264,-0.0860662803146865,9,2009,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,623500,623500_d,d
