,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
122,623518_b,10,0.2581759871615511,High-density,623518,E00019815,E00019815,E01003940,855215,-0.0866202820905367,51.4987410512848,RDynepXctHqbd8df2h-tpg,51.4987765315691,-0.0866089451288518,9,2009,94.8006843746873,147641E4-87CD-4777-BBA4-FC8D4C92EF24,623518,623518_b,b
123,623750_b,13,0.5142764233808905,Estates,623750,E00019815,E00019815,E01003940,855541,-0.0862439788488349,51.498239683189794,wfEzyHhe0Uq6ZjTaqrGc1w,51.49824313305179,-0.0862791282416077,9,2009,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,623750,623750_b,b
125,623500_b,13,0.552800127626276,Estates,623500,E00019815,E00019815,E01003940,855192,-0.0860861693653089,51.498472548940704,w9Rzgz3mQ3eFeKroV8t59g,51.4984309646264,-0.0860662803146865,9,2009,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,623500,623500_b,b
127,623514_b,10,0.2562288831089372,High-density,623514,E00019815,E00019815,E01003940,855210,-0.0859554597518104,51.4989794364089,Djv88nFv4s775UE8ABdDug,51.4990240188282,-0.0859444628952626,6,2012,199.021938755681,E238939B-5038-4C18-8C1B-8BB8138931E8,623514,623514_b,b
131,623722_b,10,0.3872508710544755,High-density,623722,E00019815,E00019815,E01003940,855503,-0.0862820106123272,51.4974998712711,g4BY_OOgu2jYcOLV2Q5ykQ,51.497483644969215,-0.0863546696218195,6,2012,226.605043465833,625308FF-A7CA-4B3F-A471-5FFE2972363A,623722,623722_b,b
134,623503_b,13,0.3871878404898036,Estates,623503,E00019815,E00019815,E01003940,855195,-0.0866675431609851,51.4984026915313,F_hJGAIZESYGQiJ60z3tSA,51.4981838490295,-0.086527071834962,9,2009,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,623503,623503_b,b
136,623517_b,10,0.2500224952773296,High-density,623517,E00019815,E00019815,E01003940,855214,-0.086851581179916,51.49884820891621,I1oGHJ5dgSUxszjurAjkTQ,51.49885607928911,-0.0867779604424851,9,2009,125.087664092376,5C497036-E251-474F-95C4-FE8A9125DBCE,623517,623517_b,b
138,623512_b,13,0.1358790791785308,Estates,623512,E00019815,E00019815,E01003940,855207,-0.086165152571672,51.4986432002201,46Q2zgCRkAcExUqtCkVqWA,51.498637553073216,-0.0860745712425568,6,2012,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,623512,623512_b,b
139,629416_b,1,0.0423168160706856,Open green space,629416,E00015376,E00015376,E01003051,862989,-0.1040025968892319,51.462529133815295,vGFUd6jXE3ihsiyalkYskQ,51.46250448722079,-0.103947479231198,6,2008,190.93209714739496,469A14B3-D60A-4181-A1E7-B867F86B6365,629416,629416_b,b
141,629407_b,13,0.0060386097971046,Estates,629407,E00015376,E00015376,E01003051,862980,-0.103507699051197,51.464115946637705,tAj8kJ2BnvN01SvwEW0olQ,51.4639444218695,-0.103538292405006,5,2012,185.31307731296903,469A14B3-D60A-4181-A1E7-B867F86B6365,629407,629407_b,b
