,LSOA code (2011),Outdoors Sub-domain Score,lsoa,Unnamed: 0
454,E01000460,0.127,E01000460,4.604990639994221
455,E01000461,0.224,E01000461,4.7726144878487835
456,E01000462,0.43,E01000462,4.917914340572972
457,E01000463,0.128,E01000463,4.8921217331245765
458,E01000464,0.249,E01000464,5.382265897173631
459,E01000465,0.378,E01000465,5.114189825159438
460,E01000466,0.146,E01000466,5.194346795234774
461,E01000467,0.453,E01000467,4.891677542527517
462,E01000468,0.142,E01000468,5.044080558247591
463,E01000469,0.257,E01000469,4.963330906663237
464,E01000470,0.358,E01000470,5.2950925193255465
465,E01000471,1.257,E01000471,5.121370260161583
466,E01000472,1.282,E01000472,5.250068370942716
467,E01000473,1.299,E01000473,5.096910847037026
468,E01000474,0.977,E01000474,5.068612588679089
469,E01000475,1.196,E01000475,5.13532693374275
470,E01000476,1.34,E01000476,5.110971242013062
471,E01000477,1.369,E01000477,5.174293878674507
472,E01000478,1.669,E01000478,5.221232575754965
473,E01000479,1.348,E01000479,4.845293735789362
474,E01000480,1.186,E01000480,4.914911945494648
475,E01000481,1.167,E01000481,4.895330262987801
476,E01000482,1.124,E01000482,5.108693795580092
477,E01000483,1.098,E01000483,5.131509778961059
478,E01000484,0.964,E01000484,5.023214465439922
479,E01000485,0.862,E01000485,5.02658770142532
480,E01000486,0.824,E01000486,4.838859137597975
481,E01000487,0.939,E01000487,4.99444023066876
482,E01000488,1.402,E01000488,4.940620844668531
483,E01000489,1.418,E01000489,4.952821114523844
484,E01000490,1.526,E01000490,4.893324366121581
485,E01000491,1.217,E01000491,4.86591917632231
486,E01000492,1.375,E01000492,4.996102430288074
487,E01000493,1.186,E01000493,4.978098153313504
488,E01000494,1.309,E01000494,4.794354357175379
489,E01000495,1.485,E01000495,4.836085595646683
490,E01000497,1.288,E01000497,5.17305221249215
491,E01000498,1.566,E01000498,5.267761453986168
492,E01000499,1.22,E01000499,5.446299677279909
493,E01000501,1.284,E01000501,4.988463592255252
494,E01000502,1.051,E01000502,4.976778866989272
495,E01000503,1.247,E01000503,4.979989623224269
496,E01000504,1.179,E01000504,4.886168437344687
497,E01000505,1.108,E01000505,5.058187964533971
498,E01000506,1.565,E01000506,5.097722876210545
499,E01000507,1.111,E01000507,5.060384132079224
500,E01000508,1.18,E01000508,5.072300127212038
501,E01000509,1.596,E01000509,5.139373090627382
502,E01000510,1.797,E01000510,5.152872188091278
503,E01000511,1.951,E01000511,4.919594805392008
504,E01000512,1.148,E01000512,4.841555264592171
505,E01000513,1.204,E01000513,5.13450455168883
506,E01000514,0.82,E01000514,5.075264697489531
507,E01000515,1.263,E01000515,5.022331030562866
508,E01000516,1.196,E01000516,5.147289568593043
509,E01000517,1.087,E01000517,5.100601831147837
510,E01000518,0.972,E01000518,4.954846480814349
511,E01000519,0.977,E01000519,5.00263874702359
512,E01000520,0.875,E01000520,4.9702310158925895
513,E01000521,1.882,E01000521,4.987050919224032
514,E01000522,1.11,E01000522,5.004312028884888
515,E01000523,1.512,E01000523,4.78765779061425
516,E01000524,1.755,E01000524,4.866744390969138
517,E01000525,1.683,E01000525,4.839432504639697
518,E01000526,1.285,E01000526,5.150166441548255
519,E01000527,1.272,E01000527,4.88319020949561
520,E01000528,1.606,E01000528,5.106149433733343
521,E01000530,1.229,E01000530,4.925170639135541
522,E01000531,1.048,E01000531,4.760021231507742
523,E01000532,1.361,E01000532,4.653485827975803
524,E01000533,1.639,E01000533,4.780855615374068
525,E01000534,1.254,E01000534,4.7655994044409855
526,E01000535,1.576,E01000535,4.929180397953786
527,E01000536,0.957,E01000536,4.879004479006484
528,E01000538,0.736,E01000538,4.817943000293278
529,E01000539,0.908,E01000539,4.925407442733319
530,E01000540,0.808,E01000540,4.822914544911308
531,E01000541,0.985,E01000541,4.919506085770471
532,E01000543,1.381,E01000543,5.033668459816412
533,E01000544,1.317,E01000544,5.049627069270972
534,E01000545,1.465,E01000545,4.778127739543007
535,E01000546,1.103,E01000546,4.713604976149166
536,E01000547,1.18,E01000547,4.629233518242836
537,E01000548,1.804,E01000548,4.771418867404001
538,E01000549,1.083,E01000549,4.684378098416072
539,E01000550,1.777,E01000550,4.998385508318205
540,E01000551,1.256,E01000551,5.179562934721359
541,E01000552,1.375,E01000552,5.180948950184716
542,E01000553,1.283,E01000553,4.88287331626333
543,E01000554,1.169,E01000554,4.858108802606131
544,E01000555,1.057,E01000555,4.952131146358119
545,E01000556,1.599,E01000556,4.82718229164248
546,E01000557,1.183,E01000557,4.791772357253141
547,E01000558,1.359,E01000558,4.7881707028225735
548,E01000559,1.24,E01000559,4.726773478615452
549,E01000560,1.22,E01000560,4.706813685229568
550,E01000561,1.374,E01000561,4.787557764053345
551,E01000562,1.063,E01000562,4.980350825304542
552,E01000563,0.966,E01000563,4.973922297592562
553,E01000564,1.017,E01000564,4.9810667178762245
554,E01000565,0.936,E01000565,5.004751629399178
555,E01000566,0.865,E01000566,4.952917707377467
556,E01000567,0.975,E01000567,4.978187623776887
557,E01000568,0.482,E01000568,5.031222224235535
558,E01000569,0.746,E01000569,4.792227193442258
559,E01000570,1.184,E01000570,5.029749900102615
560,E01000571,1.505,E01000571,4.950691905597712
561,E01000572,0.762,E01000572,4.785770375319202
562,E01000573,0.967,E01000573,4.941105832351497
563,E01000574,0.761,E01000574,4.989684271812439
564,E01000575,1.209,E01000575,5.032419327209736
565,E01000576,1.272,E01000576,4.9274639913014004
