,LSOA code (2011),Crime Score,lsoa,Unnamed: 0
269,E01000274,-0.061,E01000274,6.077595977629385
270,E01000275,-0.842,E01000275,6.123838620949845
271,E01000276,-1.275,E01000276,6.1761011518538
272,E01000277,-0.957,E01000277,6.134893528500894
273,E01000278,-1.202,E01000278,6.287581623355044
274,E01000279,0.538,E01000279,5.995802125172635
275,E01000280,-0.63,E01000280,6.168596822545275
276,E01000281,-0.177,E01000281,5.841241443084061
277,E01000282,0.194,E01000282,6.1111005058995
278,E01000283,-0.928,E01000283,6.073685160883657
279,E01000284,-0.094,E01000284,6.053918684314111
280,E01000285,0.22,E01000285,6.098668147282428
281,E01000286,0.64,E01000286,6.089944811592325
282,E01000287,0.314,E01000287,6.033822968689321
283,E01000288,0.101,E01000288,6.049344821282995
284,E01000289,0.693,E01000289,5.8367090706431535
285,E01000290,0.486,E01000290,5.742619441959956
286,E01000291,0.721,E01000291,6.096576386264393
287,E01000292,0.185,E01000292,6.19940642542487
288,E01000293,0.092,E01000293,6.272348827785915
289,E01000294,-1.003,E01000294,6.196294677430305
290,E01000295,0.492,E01000295,6.446583174348287
291,E01000296,0.231,E01000296,6.066096610818173
292,E01000297,-0.395,E01000297,6.097854123902075
293,E01000298,0.331,E01000298,6.142053419834859
294,E01000299,0.409,E01000299,5.8589220404624935
295,E01000300,-0.181,E01000300,6.269544250708966
296,E01000301,-0.26,E01000301,6.190267847027889
297,E01000302,-0.287,E01000302,6.009343437952538
298,E01000303,-0.581,E01000303,6.193928925406854
299,E01000304,-0.642,E01000304,6.293191483146266
300,E01000305,0.481,E01000305,5.582290193269838
