,LSOA code (2011),Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,lsoa_x,hierarchical8x,lsoa_y,hierarchical13x,lsoa,hierarchical24x
130,E01000134,27.225,-0.195,-0.579,42.152,20.26,0.093,0.184,24.669,0.71,E01000134,3.0,E01000134,3.0,E01000134,11.0
131,E01000135,33.536,0.385,-1.087,25.516,4.357,0.048,0.076,12.523,1.363,E01000135,3.0,E01000135,3.0,E01000135,11.0
132,E01000136,36.198,0.188,-1.93,27.615,0.946,0.02,0.037,8.96,1.033,E01000136,3.0,,,,
133,E01000137,22.835,0.348,0.077,33.329,8.14,0.145,0.235,28.786,1.096,E01000137,3.0,E01000137,3.0,E01000137,11.0
134,E01000138,31.895,1.066,-0.547,35.73,8.449,0.127,0.178,27.86,1.157,E01000138,3.0,E01000138,3.0,E01000138,11.0
135,E01000139,29.28,0.61,-1.326,25.608,4.481,0.041,0.082,12.388,1.181,E01000139,3.0,,,,
136,E01000140,30.341,-0.026,-0.914,30.188,9.457,0.078,0.118,16.817,0.865,E01000140,6.0,E01000140,10.0,,
137,E01000141,52.22,1.518,-0.736,35.668,11.28,0.083,0.149,28.797,1.703,E01000141,6.0,E01000141,10.0,,
138,E01000142,28.68,-0.373,-0.676,30.865,8.856,0.077,0.126,16.669,0.904,E01000142,3.0,E01000142,3.0,E01000142,11.0
139,E01000143,19.252,0.763,-0.081,33.531,16.558,0.153,0.239,31.342,1.1,E01000143,3.0,E01000143,3.0,E01000143,11.0
140,E01000144,29.17,0.717,-0.906,31.107,8.328,0.082,0.102,18.338,1.31,E01000144,3.0,,,,
141,E01000145,32.598,0.196,-1.5,29.116,4.679,0.072,0.088,14.626,1.143,E01000145,3.0,,,,
142,E01000146,29.849,0.638,-1.542,34.561,4.798,0.089,0.103,18.538,1.18,E01000146,3.0,E01000146,3.0,E01000146,11.0
143,E01000147,33.415,0.336,-1.99,27.447,9.893,0.04,0.078,12.786,1.154,E01000147,3.0,E01000147,9.0,E01000147,12.0
144,E01000148,29.844,0.009,-0.042,43.166,15.794,0.115,0.186,27.671,1.195,E01000148,3.0,E01000148,3.0,E01000148,11.0
145,E01000150,33.545,-0.033,-1.385,33.726,9.297,0.056,0.106,15.583,0.861,E01000150,3.0,E01000150,3.0,E01000150,11.0
146,E01000151,19.735,0.085,-0.203,40.945,18.815,0.191,0.332,38.897,0.826,E01000151,4.0,E01000151,5.0,E01000151,6.0
147,E01000152,16.001,0.049,-0.552,44.269,25.229,0.144,0.265,32.418,0.702,E01000152,4.0,E01000152,5.0,,
148,E01000153,18.106,0.872,-0.047,49.389,36.066,0.173,0.276,41.649,0.738,,,,,,
149,E01000154,22.744,0.827,0.007,43.4,22.212,0.141,0.201,32.667,0.802,,,,,,
150,E01000155,47.35,-0.128,-1.303,39.038,12.175,0.062,0.135,20.797,0.412,E01000155,3.0,E01000155,3.0,E01000155,11.0
151,E01000156,19.997,-0.158,-0.991,22.228,1.668,0.04,0.075,8.319,0.951,E01000156,3.0,E01000156,9.0,E01000156,12.0
152,E01000157,32.014,-0.281,-1.084,24.93,10.386,0.054,0.089,12.655,1.043,E01000157,3.0,E01000157,9.0,E01000157,12.0
153,E01000158,31.142,0.561,-0.598,28.16,10.783,0.087,0.13,19.721,0.839,E01000158,3.0,,,,
154,E01000159,17.393,0.561,-1.287,32.939,4.883,0.077,0.112,16.257,0.775,E01000159,3.0,,,,
155,E01000160,26.093,0.463,-1.028,26.935,7.531,0.047,0.07,12.121,1.01,,,,,,
156,E01000161,20.014,0.612,-0.524,27.508,3.782,0.055,0.109,14.513,1.01,E01000161,3.0,E01000161,3.0,E01000161,11.0
157,E01000162,27.187,0.481,-0.479,24.285,9.943,0.098,0.117,18.504,1.147,E01000162,3.0,E01000162,3.0,E01000162,11.0
158,E01000163,21.987,0.26,0.036,38.055,13.328,0.145,0.2,28.541,0.956,E01000163,3.0,E01000163,4.0,E01000163,5.0
159,E01000164,28.698,0.841,-0.666,36.044,11.909,0.107,0.172,25.331,1.612,E01000164,3.0,E01000164,4.0,E01000164,5.0
160,E01000165,16.048,0.198,-1.29,35.632,5.196,0.05,0.099,13.258,0.977,E01000165,3.0,E01000165,4.0,E01000165,5.0
161,E01000166,13.626,0.276,-0.922,28.957,7.16,0.082,0.105,14.861,0.384,E01000166,3.0,E01000166,3.0,E01000166,11.0
162,E01000167,18.27,0.516,0.166,33.883,22.649,0.125,0.199,28.35,0.593,E01000167,3.0,E01000167,3.0,E01000167,11.0
163,E01000168,21.5,-0.095,-1.486,21.872,3.41,0.035,0.05,6.975,0.397,E01000168,3.0,E01000168,9.0,E01000168,12.0
164,E01000169,25.647,0.466,-1.209,25.427,4.871,0.063,0.086,13.226,0.576,E01000169,3.0,E01000169,9.0,E01000169,12.0
165,E01000170,25.376,0.536,-0.625,22.502,10.294,0.114,0.147,20.384,0.645,E01000170,3.0,E01000170,9.0,E01000170,12.0
166,E01000171,33.967,0.288,-0.164,26.487,12.3,0.105,0.196,24.261,0.68,E01000171,6.0,E01000171,10.0,E01000171,15.0
167,E01000172,25.96,-0.743,-1.613,24.854,2.666,0.039,0.075,8.421,0.54,E01000172,3.0,E01000172,3.0,E01000172,11.0
168,E01000173,23.152,-0.085,-1.13,19.649,5.844,0.05,0.081,9.709,0.685,E01000173,3.0,E01000173,9.0,E01000173,12.0
169,E01000174,29.971,-0.248,-0.672,30.198,8.05,0.069,0.128,16.271,0.598,E01000174,6.0,E01000174,10.0,E01000174,15.0
170,E01000175,15.768,0.185,-1.45,22.205,2.159,0.047,0.052,7.614,0.532,E01000175,3.0,E01000175,3.0,E01000175,11.0
171,E01000176,17.867,0.377,-0.459,44.215,19.609,0.136,0.233,30.549,1.111,E01000176,3.0,E01000176,4.0,E01000176,5.0
172,E01000177,29.925,0.031,-1.826,22.96,4.627,0.026,0.055,8.263,1.073,,,,,,
173,E01000178,23.749,-0.15,-1.31,22.904,1.098,0.045,0.058,8.055,0.824,,,,,,
174,E01000179,19.606,-0.087,-0.712,24.92,2.024,0.036,0.064,8.467,0.974,E01000179,3.0,E01000179,3.0,E01000179,4.0
175,E01000180,19.421,-0.257,-1.044,29.565,4.839,0.073,0.13,14.555,1.09,E01000180,3.0,E01000180,3.0,E01000180,11.0
176,E01000181,29.674,0.07,-1.634,20.819,0.31,0.039,0.058,8.204,1.272,E01000181,5.0,E01000181,6.0,E01000181,7.0
177,E01000182,37.424,-0.177,-1.738,22.913,0.42,0.032,0.04,8.01,1.298,E01000182,3.0,E01000182,3.0,,
178,E01000183,20.769,-0.504,-0.676,30.174,1.885,0.047,0.085,10.613,0.759,E01000183,3.0,E01000183,3.0,E01000183,11.0
179,E01000184,35.661,0.303,-0.186,43.284,17.632,0.141,0.212,31.921,1.417,,,,,,
180,E01000185,19.475,-0.438,-0.208,32.704,12.502,0.128,0.239,25.824,1.115,,,,,,
181,E01000186,18.927,-0.699,-1.988,19.417,3.442,0.035,0.044,5.195,0.963,E01000186,3.0,E01000186,3.0,E01000186,11.0
182,E01000187,14.508,-0.561,-0.599,27.997,7.661,0.063,0.118,13.015,0.468,E01000187,3.0,E01000187,3.0,E01000187,11.0
183,E01000188,27.374,0.509,-2.011,21.076,2.684,0.036,0.032,8.028,1.433,E01000188,7.0,E01000188,11.0,E01000188,16.0
184,E01000189,43.589,-0.444,-0.871,38.504,25.611,0.091,0.149,24.526,0.847,E01000189,4.0,E01000189,5.0,,
185,E01000190,16.24,-0.437,-1.301,25.601,5.319,0.056,0.091,10.149,0.462,E01000190,3.0,E01000190,3.0,E01000190,11.0
186,E01000191,18.833,-0.547,-1.605,22.059,1.76,0.048,0.055,6.834,0.931,E01000191,3.0,E01000191,3.0,E01000191,11.0
187,E01000192,28.127,0.535,-1.035,27.087,6.778,0.066,0.105,15.472,0.789,E01000192,3.0,E01000192,3.0,E01000192,11.0
188,E01000193,33.122,0.546,-1.393,28.912,7.965,0.071,0.09,16.117,0.759,E01000193,3.0,,,,
189,E01000194,29.783,0.884,-1.007,33.467,5.706,0.078,0.114,19.392,0.987,E01000194,3.0,E01000194,3.0,E01000194,11.0
190,E01000195,19.966,0.143,-0.58,47.051,23.459,0.109,0.177,26.999,0.778,,,,,,
191,E01000196,22.92,-0.675,-1.183,29.058,5.839,0.068,0.093,12.284,0.854,E01000196,3.0,E01000196,3.0,E01000196,11.0
192,E01000197,34.534,0.035,-1.585,26.823,1.749,0.056,0.086,12.516,1.057,E01000197,3.0,E01000197,3.0,E01000197,11.0
193,E01000198,25.751,-0.606,-1.852,36.202,2.096,0.048,0.087,11.841,0.944,E01000198,3.0,,,,
194,E01000199,16.028,-0.138,-2.149,27.064,1.162,0.036,0.056,7.222,0.784,E01000199,3.0,E01000199,3.0,E01000199,11.0
195,E01000200,19.86,0.008,-1.812,23.179,1.098,0.055,0.081,9.566,0.979,E01000200,3.0,E01000200,3.0,E01000200,11.0
196,E01000201,32.502,-0.066,-1.855,20.134,0.774,0.034,0.041,7.184,1.497,E01000201,3.0,E01000201,9.0,E01000201,12.0
197,E01000202,23.038,-0.497,-1.941,25.128,1.508,0.031,0.053,6.735,0.947,E01000202,3.0,E01000202,9.0,E01000202,12.0
198,E01000203,24.962,-0.564,-1.173,36.786,5.763,0.072,0.114,15.523,1.34,E01000203,3.0,,,,
199,E01000204,27.209,0.3,-1.795,23.008,3.121,0.046,0.068,10.063,1.243,E01000204,3.0,E01000204,3.0,E01000204,11.0
200,E01000205,23.489,0.215,-1.993,22.867,1.073,0.035,0.053,7.725,1.036,E01000205,3.0,E01000205,9.0,E01000205,12.0
201,E01000206,24.319,0.147,-2.703,38.568,1.793,0.012,0.013,9.118,1.049,E01000206,3.0,E01000206,4.0,E01000206,5.0
202,E01000207,27.164,-0.487,-2.053,22.612,2.896,0.035,0.042,6.585,0.883,E01000207,3.0,E01000207,3.0,E01000207,11.0
