,lsoa,all_2011,0-14_2011,15-29_2011,30-69_2011,70+_2011,all_2020,0-14_2020,15-29_2020,30-69_2020,70+_2020
695,E01002873,1329,222,218,785,104,1261,172,175,741,173
696,E01002874,1447,254,368,756,69,1267,187,260,693,127
697,E01002875,1388,209,248,769,162,1362,252,172,690,248
698,E01002824,1518,265,259,896,98,1330,220,216,718,176
699,E01002825,1928,330,333,1091,174,2207,489,317,1086,315
700,E01002826,1548,187,335,881,145,1610,291,283,859,177
701,E01002827,1812,276,330,1084,122,1850,387,229,1045,189
702,E01002828,1330,180,224,795,131,1394,241,213,756,184
703,E01002864,1494,317,197,790,190,1515,281,200,754,280
704,E01002866,1740,285,386,1001,68,1659,238,312,981,128
705,E01002867,1968,318,480,1074,96,1825,304,357,1036,128
706,E01002868,1650,279,242,970,159,1605,279,171,840,315
707,E01002869,1502,226,295,887,94,1541,305,201,823,212
708,E01002887,1401,151,395,757,98,1504,190,399,798,117
709,E01002889,1286,160,310,694,122,1187,199,213,645,130
710,E01002890,1785,388,223,1019,155,1731,337,263,937,194
711,E01002891,1448,227,311,839,71,1462,247,283,798,134
712,E01002892,1821,244,510,1005,62,1938,233,589,1007,109
713,E01002813,1762,297,308,1018,139,1632,297,237,874,224
714,E01002815,1428,187,336,793,112,1340,162,321,735,122
715,E01002816,1360,169,308,742,141,1467,250,256,781,180
716,E01002817,1597,247,271,897,182,1499,244,216,774,265
717,E01002865,1382,291,197,791,103,1689,433,201,902,153
718,E01002818,1993,215,481,1140,157,1884,205,408,1055,216
719,E01002819,1588,202,382,878,126,1511,214,309,763,225
720,E01002859,1624,220,319,970,115,1627,242,290,926,169
721,E01002860,1505,204,300,880,121,1512,178,263,863,208
722,E01002863,1446,175,227,885,159,1378,173,158,829,218
723,E01002812,1913,282,490,1018,123,1982,309,544,946,183
724,E01002834,1429,223,374,751,81,1542,263,299,845,135
725,E01002839,1562,142,456,871,93,1486,167,363,824,132
