,OA code,price,"Price (central estimate, natural log scale)",oa,Unnamed: 0
2161,E00002241,309812.0519440554,12.6437211085454,E00002241,5.7667497710177775
2162,E00002242,247882.49393794936,12.4207100980951,E00002242,5.857252982529727
2163,E00002243,244146.75255475932,12.4055247683764,E00002243,5.515446652065624
2164,E00002244,230811.70788302217,12.3493575397256,E00002244,5.9527829601651145
2165,E00002245,261560.95195186013,12.4744226211848,E00002245,5.798787240982056
2166,E00002246,261621.84237020757,12.4746553903786,E00002246,5.994893815782335
2167,E00002247,238797.06280235344,12.3833693606023,E00002247,5.721277200258696
2168,E00002248,237158.46329969773,12.3764838182072,E00002248,6.073076523267305
2169,E00002249,254131.0965383458,12.4456055409561,E00002249,5.868773439195421
2170,E00002250,278646.278132116,12.5376984361244,E00002250,5.8101649734709
2171,E00002251,251040.7176246829,12.4333704265697,E00002251,5.676676048172845
2172,E00002252,257978.15713085694,12.4606301980362,E00002252,5.54944813565204
2173,E00002253,317413.2661953254,12.6679598826576,E00002253,6.065946380297343
2174,E00002254,309075.06538280536,12.6413394564186,E00002254,5.741450569846413
2175,E00002255,263424.6065206254,12.4815224827611,E00002255,5.800023394661981
2176,E00002256,310600.4502983222,12.6462626394649,E00002256,5.89919083169166
2177,E00002257,232555.9846511563,12.3568862692218,E00002257,5.552794694900513
2178,E00002258,269057.8038026144,12.5026815195243,E00002258,5.956724111239115
2179,E00002259,296280.2313133747,12.5990610128525,E00002259,5.706237409172989
2180,E00002260,242499.84481409634,12.3987563494176,E00002260,5.434885259332328
2181,E00002261,292056.729580793,12.5847033417669,E00002261,5.7341975450515745
2182,E00002262,252940.34890358563,12.4409089648257,E00002262,5.342647477984428
2183,E00002263,270312.0829834066,12.5073324333868,E00002263,5.424284868515455
2184,E00002264,284685.2435971361,12.5591394405113,E00002264,5.537803494411966
2185,E00002265,312182.99639700045,12.6513448217654,E00002265,5.793345646424727
2186,E00002266,309332.6359027949,12.6421724684731,E00002266,5.689752932028337
2187,E00002267,309596.6772822984,12.6430256883478,E00002267,5.390586060862387
2188,E00002268,331616.8957423381,12.7117356531236,E00002268,5.876622189646182
2189,E00002269,265213.4226120633,12.4882901491807,E00002269,5.863922878315575
2190,E00002270,330007.736080477,12.706871375836,E00002270,6.006271883845329
2191,E00002271,265873.0848475527,12.4907743492704,E00002271,5.823640802327325
2192,E00002272,267537.94037280785,12.4970166684302,E00002272,5.558792007764181
2193,E00002273,274791.28705427557,12.5237671323294,E00002273,5.865313044300786
2194,E00002274,230407.93695436788,12.3476066557972,E00002274,5.866864862113164
2195,E00002275,135506.12333826144,11.8167721089691,E00002275,4.843075603246689
2196,E00002277,134320.23084366217,11.8079820103597,E00002277,5.237799779843476
2197,E00002279,178293.1040640124,12.0911841270742,E00002279,5.524712227284908
2198,E00002280,124286.64475545836,11.7303458280856,E00002280,4.755818910598755
2199,E00002281,129962.49658742844,11.7750012000281,E00002281,5.103013396263123
2200,E00002282,169456.72599839678,12.0403528693628,E00002282,5.291696365063007
2201,E00002283,180490.3579877596,12.1034326369779,E00002283,5.565518833342052
2202,E00002284,168105.53415880015,12.0323472406799,E00002284,5.391520346914019
2203,E00002285,170537.57962083432,12.0467109597527,E00002285,5.1215701825691
2204,E00002286,172782.92990295845,12.0597913451887,E00002286,5.66089129447937
2205,E00002287,180261.1340534764,12.1021618233004,E00002287,5.117903665260032
2206,E00002288,170242.37744615137,12.0449784502996,E00002288,5.325190547853708
2207,E00002289,174822.5322945925,12.0715266371834,E00002289,5.767584976027994
2208,E00002290,159450.72537300858,11.9794902216471,E00002290,5.3945940881967545
2209,E00002291,158711.33501333234,11.9748423281185,E00002291,5.626756232125419
2210,E00002292,175986.4743817896,12.0781624209637,E00002292,5.611927926540375
2211,E00002293,175986.60777184437,12.0781631789197,E00002293,5.536297394874248
2212,E00002294,168519.54159111175,12.0348069958846,E00002294,5.425782020886739
2213,E00002296,168815.65325572353,12.0365625894022,E00002296,5.0725363669572054
2214,E00002297,116275.64152417636,11.6637188713781,E00002297,5.112787955337101
2215,E00002298,148578.05336478163,11.9088657110234,E00002298,5.322078411395733
2216,E00002300,127019.69044822134,11.7520973963222,E00002300,5.19649122975697
2217,E00002301,183849.3401370013,12.1218718975851,E00002301,5.447277119526496
2218,E00002302,144495.07164418843,11.8810006796844,E00002302,4.866044231823513
2219,E00002303,144338.08827743048,11.8799136619593,E00002303,5.32757732073466
2220,E00002304,118198.84201868376,11.6801235871099,E00002304,5.0006421168645225
2221,E00002305,174091.79836120587,12.0673380158655,E00002305,5.069290220737457
2222,E00002306,175110.79792162438,12.0731741835435,E00002306,5.36890662709872
2223,E00002307,170112.03504090465,12.0442125286201,E00002307,5.219114718613802
2224,E00002308,177627.00529248608,12.0874411548078,E00002308,5.153870206409031
2225,E00002310,259669.6328827975,12.4671654592882,E00002310,5.534017168242356
2226,E00002311,278298.9038814066,12.5364510088839,E00002311,5.700847712846903
2227,E00002312,264370.16947494925,12.4851055571262,E00002312,5.4141749540964765
2228,E00002313,283847.30918944295,12.556191728862,E00002313,5.405755721728007
2229,E00002314,271329.39385452535,12.5110888372475,E00002314,5.517463532361117
2230,E00002315,241691.28253186605,12.395416498734,E00002315,5.262515290578206
2231,E00002316,266637.26279773936,12.4936444473939,E00002316,5.353262672821681
2232,E00002319,239279.9087481178,12.3853893119435,E00002319,5.13032922314273
2233,E00002321,226916.8352521529,12.3323388648077,E00002321,5.2481713652610775
2234,E00002322,305985.00018206873,12.6312913607202,E00002322,5.389806410051742
2235,E00002323,219364.0752864943,12.2984880726984,E00002323,5.376187629169888
2236,E00002324,222865.39680295653,12.3143232664209,E00002324,5.297989227555015
2237,E00002325,219545.99239110606,12.299317022082,E00002325,5.322056996516692
2238,E00002326,282410.34142597485,12.5511164037111,E00002326,5.4659401675065356
2239,E00002328,255848.5135309037,12.4523408042922,E00002328,5.377227984368801
2240,E00002329,254872.69678596582,12.4485194711943,E00002329,5.57827121333072
2241,E00002330,296132.0756156867,12.5985608351923,E00002330,5.4934271514415745
2242,E00002331,271280.3415678265,12.5109080358957,E00002331,5.624863335580537
2243,E00002332,258674.13342324513,12.4633243764076,E00002332,5.272483241558075
2244,E00002333,258191.88771239234,12.4614583382814,E00002333,5.417241211595206
2245,E00002334,242572.37246232832,12.399055387978,E00002334,5.461612802285415
2246,E00002335,276053.8189986541,12.5283511220619,E00002335,5.6353674332300825
2247,E00002336,266907.53503925976,12.4946575666886,E00002336,5.5596188615869595
2248,E00002337,247367.26259770012,12.4186294043872,E00002337,5.580871929441179
2249,E00002338,241616.51545526393,12.3951071013789,E00002338,5.484682944842747
2250,E00002339,250717.6219949712,12.4320825728407,E00002339,5.287433043279146
2251,E00002340,267026.22453641455,12.4951021517967,E00002340,5.538986233564524
2252,E00002341,236321.41476049932,12.3729480843777,E00002341,5.4530467571214185
2253,E00002342,251875.58736565756,12.4366905436532,E00002342,5.494736414402723
2254,E00002343,247968.56033164726,12.4210572442545,E00002343,5.522613549232483
2255,E00002345,254295.0287643864,12.4462504025144,E00002345,5.385446089506149
2256,E00002346,284483.9238314866,12.5584320242085,E00002346,5.287011320774372
2257,E00002347,306518.81612379395,12.6330344227638,E00002347,5.6220024426778155
2258,E00002348,344000.93593203695,12.7483996570845,E00002348,5.587458637782506
2259,E00002349,242453.76789078317,12.398566323311,E00002349,5.565355395448619
2260,E00002350,311537.8807876062,12.6492762174809,E00002350,5.746897399425507
2261,E00002351,287560.6067320224,12.5691889230275,E00002351,5.637773702884543
2262,E00002352,305990.1661745356,12.6313082437336,E00002352,5.5056219304480205
2263,E00002353,244239.764301392,12.4059056623796,E00002353,5.600749639364389
2264,E00002354,321942.60246793996,12.6821285554324,E00002354,5.608985828856627
2265,E00002355,337250.89966427296,12.7285824417144,E00002355,5.790073303615346
2266,E00002356,285116.5083246814,12.5606531768536,E00002356,5.509774261332573
2267,E00002357,317474.874031458,12.6681539572746,E00002357,5.810880896657012
2268,E00002358,309748.4721916323,12.6435158670874,E00002358,5.64955834885861
2269,E00002359,302621.0650165069,12.620236691319,E00002359,5.552828602492809
