,lsoa,popden2011,popden2021
1080,E01032579,83.5,123.90799999999999
1081,E01003543,149.5,140.882
1082,E01003544,127.8,119.38
1083,E01003546,166.8,153.873
1084,E01003550,153.7,153.627
1085,E01003576,138,120.307
1086,E01003581,181.9,177.362
1087,E01003582,188.2,186.46400000000003
1088,E01003583,200.4,213.442
1089,E01003578,23.5,24.081999999999997
1090,E01003584,62.8,57.728
1091,E01003586,117.4,122.855
1092,E01003590,61.5,62.358999999999995
1093,E01003579,188.2,202.035
1094,E01003585,226.2,223.32
1095,E01003587,149.5,154.314
1096,E01003591,131.6,137.06
1097,E01003528,174.3,170.729
1098,E01003575,115.5,112.62700000000001
1099,E01003577,109.8,136.556
1100,E01003580,82.2,89.57
1101,E01003545,101.8,103.361
1102,E01003548,102.3,97.697
1103,E01003549,177.8,179.12099999999998
1104,E01003557,115.2,110.947
1105,E01003547,108.7,109.647
1106,E01003555,109.3,111.744
1107,E01003561,236.2,215.327
1108,E01003567,185.5,197.35
1109,E01003556,138.7,142.681
1110,E01003558,108.4,114.105
1111,E01003570,201.3,185.965
1112,E01003571,216.9,216.952
1113,E01003572,189.7,178.785
1114,E01003551,192.1,191.71900000000002
1115,E01003553,185.1,194.14
1116,E01003554,190.3,194.172
1117,E01003559,168.1,154.293
1118,E01003529,201.8,205.178
1119,E01003530,151.4,157.001
1120,E01003531,89.8,101.258
1121,E01003532,178.9,206.345
1122,E01003534,174.6,169.315
1123,E01003533,164.3,202.183
1124,E01003560,231.7,210.81799999999998
1125,E01003563,223.7,287.91200000000003
1126,E01003588,239.4,209.396
1127,E01003589,136.1,134.982
1128,E01003616,113.4,126.786
1129,E01003618,136.7,141.459
1130,E01003619,88.9,97.756
1131,E01003615,170.1,157.83100000000002
1132,E01033579,29.4,42.847
1133,E01033586,20,29.965999999999998
1134,E01003562,223.8,213.632
1135,E01003564,225.9,217.555
1136,E01003565,205.4,231.59599999999998
1137,E01003566,184.2,201.644
1138,E01003625,53.2,52.76
1139,E01003626,155.1,164.09799999999998
1140,E01003627,210.1,199.86900000000003
1141,E01003628,179.2,182.024
1142,E01003629,256.8,299.078
1143,E01003552,161.6,150.094
1144,E01003596,159.1,153.715
1145,E01003597,182.5,244.308
1146,E01003635,49.1,46.028
1147,E01003568,209.7,235.519
1148,E01003569,181.2,235.21
1149,E01003573,216.3,233.835
1150,E01003574,139.4,134.778
1151,E01003520,153.7,152.187
1152,E01003521,165.9,159.471
1153,E01003522,244,236.829
1154,E01003525,153.2,160.806
1155,E01003526,179.9,175.537
1156,E01003488,144.2,152.53799999999998
1157,E01003489,147.4,243.73
1158,E01003490,184.6,198.21099999999998
1159,E01003524,229.9,218.821
1160,E01003631,110.6,112.681
1161,E01003632,165.7,177.137
1162,E01003633,194.5,193.035
1163,E01003634,124.3,120.509
1164,E01003636,100.9,112.035
1165,E01003598,264.2,263.788
1166,E01003600,171.9,147.554
1167,E01003630,192.6,181.03400000000002
