,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,outdoor_resid,Education..Skills.and.Training.Score,wealth_resid,education_resid
121,122,121,E01000125,0.179,E01000125,5.19161824054188,-0.318482685334421,0,1.071,0.178157152760253,23.785,-0.318482685334421,0.08490602715737
122,123,122,E01000126,0.243,E01000126,5.20724985851505,-0.215320133485828,1,0.672,0.15922032987657,13.21,-0.215320133485828,0.17659243816498
123,124,123,E01000127,0.193,E01000127,5.53193569445348,0.0409821603624269,6,0.862,0.112769320059207,21.348,0.0409821603624269,-0.15334972977938
124,125,124,E01000128,0.171,E01000128,5.41339737333749,-0.107644919273236,2,1.087,0.22085239633675,22.529,-0.107644919273236,0.0010401796295578
127,128,127,E01000131,0.116,E01000131,5.609744420758,0.0134802318480752,5,1.139,-0.0063009610137453,10.9,0.0134802318480752,0.0638318887907736
128,129,128,E01000132,0.187,E01000132,5.42239629108215,-0.0767632680597242,3,1.039,0.144486903370465,22.698,-0.0767632680597242,-0.005698365535186
129,130,129,E01000133,0.188,E01000133,5.41151564367234,-0.0862762446277338,3,1.101,0.270925309790627,24.516,-0.0862762446277338,-0.102246497994868
130,131,130,E01000134,0.184,E01000134,5.43700637034516,-0.0662562013221268,3,0.71,0.0524388735421181,20.26,-0.0662562013221268,-0.0789255406360324
131,132,131,E01000135,0.076,E01000135,5.8551452985776,0.204174275995536,8,1.363,0.0197398507195697,4.357,0.204174275995536,-0.0627817281439815
132,133,132,E01000136,0.037,E01000136,5.84006975279914,0.135759567386737,7,1.033,-0.0720773734576341,0.946,0.135759567386737,-0.123139569257771
134,135,134,E01000138,0.178,E01000138,5.7229377268054,0.21146913008729,8,1.157,0.0432621198239934,8.449,0.21146913008729,0.129164792941903
135,136,135,E01000139,0.082,E01000139,5.73451915818654,0.0917541606552927,6,1.181,0.0529611264685009,4.481,0.0917541606552927,0.0369665257096482
137,138,137,E01000141,0.149,E01000141,5.33202100246348,-0.21911004866693,1,1.703,0.198701256524896,11.28,-0.21911004866693,0.175838683430552
138,139,138,E01000142,0.126,E01000142,5.732133951577,0.149546471085111,8,0.904,0.0754819116912701,8.856,0.149546471085111,0.1446672294017
139,140,139,E01000143,0.239,E01000143,5.54958800836043,0.121547332992338,7,1.1,0.193900534068256,16.558,0.121547332992338,0.0805327443719112
141,142,141,E01000145,0.088,E01000145,5.82086514029652,0.186306167816095,8,1.143,-0.103641774368484,4.679,0.186306167816095,0.0236725341985762
142,143,142,E01000146,0.103,E01000146,5.71477553146641,0.100731621613044,7,1.18,-0.288085433486987,4.798,0.100731621613044,-0.0096742776092026
143,144,143,E01000147,0.078,E01000147,5.56457050934734,-0.0836651715511196,3,1.154,-0.0597475815823737,9.893,-0.0836651715511196,0.0664246040775323
144,145,144,E01000148,0.186,E01000148,5.31267717715941,-0.187850052824268,1,1.195,0.0725404226483325,15.794,-0.187850052824268,0.194538666107219
145,146,145,E01000150,0.106,E01000150,5.33877054360359,-0.271170353724368,0,0.861,0.113441730805114,9.297,-0.271170353724368,0.215694846349434
146,147,146,E01000151,0.332,E01000151,5.15431860873574,-0.146528678344626,1,0.826,0.19207132016749,18.815,-0.146528678344626,0.113887047604476
147,148,147,E01000152,0.265,E01000152,5.3338499267896,-0.0586313066915983,3,0.702,0.238536126239525,25.229,-0.0586313066915983,-0.0510956573429149
148,149,148,E01000153,0.276,E01000153,5.43330758124326,0.0558707270219008,6,0.738,0.184549506749093,36.066,0.0558707270219008,-0.172339139550929
151,152,151,E01000156,0.075,E01000156,5.75908069472668,0.106742001302807,7,0.951,-0.207941935292222,1.668,0.106742001302807,0.0008081443029169
152,153,152,E01000157,0.089,E01000157,5.63583172831619,0.00264042667757,5,1.043,-0.162664340296498,10.386,0.00264042667757,0.0318906933617758
